,Layer,Prostatitis nodes,Biliary_cirrhosis nodes,sAB
0,coex_KDN,35,42,-0.11571428571428566
1,coex_BST,19,18,0.1944444444444442
2,coex_OVR,15,22,0.04834054834054857
3,coex_LNG,30,32,0.5959631857116823
4,coex_ITI,28,38,-0.04562542720437457
5,coex_VGN,18,25,0.4329138166894668
6,coex_HRV,21,17,-0.0657738095238094
7,coex_MSG,30,23,0.12996589940323955
8,coex_ADV,24,26,0.1628205128205127
9,coex_EMS,16,19,-0.040601503759398305
10,coex_SMU,16,19,-0.08120300751879661
11,coex_ARG,21,18,0.32539682539682513
12,coex_TST,23,24,0.20931621954979973
13,coex_PIT,25,26,0.2369381598793363
14,coex_LVR,30,30,0.060919540229885216
15,coex_THY,26,29,0.5790598290598292
16,coex_PNC,22,20,0.17958768873402997
17,coex_ATC,17,25,0.6406162464985996
18,coex_BRO,28,23,0.12122892635315008
19,coex_SKN,18,23,0.4878574226400314
20,coex_ADS,18,24,0.34325396825396837
21,coex_GEJ,18,22,-0.056255835667600174
22,coex_BRB,17,18,0.20125711574952598
23,coex_UTR,14,20,0.43005240373661424
24,coex_STM,25,28,0.5158683473389358
25,coex_HRA,23,20,0.19732441471571893
26,coex_PRS,24,25,0.27360465116279054
27,coex_ATA,19,24,0.32920236638106903
28,coex_FIB,23,17,0.40658567774936083
29,coex_BRC,23,24,0.16853864734299506
30,coex_ATT,14,26,0.13296703296703294
31,coex_TNV,12,20,0.012500000000000178
32,coex_SPL,26,36,0.3307140887786051
33,coex_LCL,17,18,0.5188836898395723
34,coex_CLS,21,35,0.12617119722382908
35,coex_EMC,18,25,-0.02970588235294125
36,coex_CLT,24,30,0.3701923076923075
37,coex_core,32,35,0.44644134755964804
38,coex_WBL,26,32,0.202627652519894
39,co-essential,7,4,0.4833333333333334
40,GOBP,18,20,1.0204248366013071
41,ppi,50,50,0.040000000000000036
42,reactome_copathway,16,21,0.13977272727272738
43,MP,16,19,0.3905056759545924
44,HP,19,19,0.1315789473684208
45,GI_net,18,20,0.19465944272445834
46,gene_gene_on_CbG_name_mapped,14,15,-0.07060755336617408
47,gene_gene_on_GcG_name_mapped,31,33,-0.09416239002932558
48,GOMF,5,4,
