,Layer,Temporal_lobe_epilepsy nodes,Benign_Neonatal_Epilepsy nodes,sAB
0,coex_KDN,39,29,0.3382222915691475
1,coex_BST,24,27,0.19471677559912837
2,coex_OVR,28,18,0.13155624568668056
3,coex_LNG,26,22,0.34469696969697017
4,coex_ITI,35,37,0.22355212355212362
5,coex_VGN,27,37,0.2735704454454453
6,coex_HRV,23,21,0.3162055335968381
7,coex_MSG,34,26,0.06108597285067874
8,coex_ADV,19,22,0.14155677441941883
9,coex_EMS,24,27,0.3104575163398695
10,coex_SMU,22,16,-0.05517344497607635
11,coex_ARG,27,29,0.5796703296703298
12,coex_TST,33,35,0.16086070791953144
13,coex_PIT,32,31,0.25628040194572455
14,coex_LVR,28,15,0.19238648947951287
15,coex_THY,26,22,0.5747213779128675
16,coex_PNC,30,31,0.2604530230918385
17,coex_ATC,32,24,0.39467592592592604
18,coex_BRO,39,43,0.18690460607647208
19,coex_SKN,28,28,0.3118131868131868
20,coex_ADS,29,29,0.18965517241379315
21,coex_GEJ,26,29,0.2527472527472523
22,coex_BRB,29,38,0.21840209117750642
23,coex_UTR,19,17,0.6278594771241828
24,coex_STM,34,32,0.21129762078528702
25,coex_HRA,24,22,0.5502305665349141
26,coex_PRS,23,19,0.13642802658820985
27,coex_ATA,31,21,0.47022332506203446
28,coex_FIB,17,8,0.18132352941176455
29,coex_BRC,31,42,0.2999060232537809
30,coex_ATT,30,22,0.47478991596638664
31,coex_TNV,27,30,0.21306042884990273
32,coex_SPL,26,12,0.2941970310391362
33,coex_LCL,15,4,0.17857142857142838
34,coex_CLS,29,36,0.4355290303566166
35,coex_EMC,27,20,0.4877659574468085
36,coex_CLT,31,33,0.14020097286226307
37,coex_core,37,38,0.37416941093941825
38,coex_WBL,24,13,0.43864468864468886
39,co-essential,6,6,-0.03939393939393954
40,GOBP,18,26,0.7482088989441928
41,ppi,50,50,0.21999999999999997
42,reactome_copathway,18,13,0.7433155080213907
43,MP,12,14,0.4119047619047618
44,HP,12,15,0.35370370370370363
45,GI_net,16,14,0.2455357142857144
46,gene_gene_on_CbG_name_mapped,26,13,0.16666666666666674
47,gene_gene_on_GcG_name_mapped,29,35,0.11194581280788185
48,GOMF,5,6,
