,Layer,Cerebral_edema nodes,Pleural_effusion nodes,sAB
0,coex_KDN,41,39,0.29738117573483414
1,coex_BST,35,25,0.3821428571428571
2,coex_OVR,36,29,0.2633952254641909
3,coex_LNG,37,32,0.5995764786525659
4,coex_ITI,44,38,0.554785846452513
5,coex_VGN,39,30,0.1527539397721953
6,coex_HRV,26,26,1.423076923076923
7,coex_MSG,41,37,0.23837533593631166
8,coex_ADV,31,27,0.8531191502329023
9,coex_EMS,39,26,0.6141025641025644
10,coex_SMU,36,26,0.35745795423214766
11,coex_ARG,34,29,0.7651124966115481
12,coex_TST,40,30,0.12321428571428572
13,coex_PIT,40,33,0.2799294312992944
14,coex_LVR,40,36,0.1567567567567567
15,coex_THY,33,29,0.9838105883187853
16,coex_PNC,33,28,0.05491071428571459
17,coex_ATC,37,33,0.6090322659616141
18,coex_BRO,37,34,0.8301767240386169
19,coex_SKN,40,31,0.20406996545516476
20,coex_ADS,32,30,0.3030172413793104
21,coex_GEJ,37,29,0.5793650793650793
22,coex_BRB,21,28,0.8918439716312057
23,coex_UTR,32,19,0.15083333333333293
24,coex_STM,41,33,0.4801741874912606
25,coex_HRA,37,27,0.5746625746625749
26,coex_PRS,36,27,0.3075396825396828
27,coex_ATA,29,31,0.5269373377827216
28,coex_FIB,33,15,0.3737373737373737
29,coex_BRC,37,23,0.21249510379945136
30,coex_ATT,36,32,0.8638888888888889
31,coex_TNV,18,24,0.5511075762931541
32,coex_SPL,40,32,0.18194444444444446
33,coex_LCL,30,14,0.4522854851643947
34,coex_CLS,38,31,0.3365443763686917
35,coex_EMC,39,32,0.46761579089924177
36,coex_CLT,41,36,0.5018018018018018
37,coex_core,40,37,0.6046052631578946
38,coex_WBL,34,29,0.3376396535625745
39,co-essential,13,7,0.9093406593406597
40,GOBP,30,19,2.320203488372093
41,ppi,50,47,0.3694428602763764
42,reactome_copathway,20,17,0.4955357142857144
43,MP,9,17,0.4375
44,HP,32,26,0.8391080901856762
45,GI_net,17,22,-0.04801994507876861
46,gene_gene_on_CbG_name_mapped,25,7,0.24642857142857144
47,gene_gene_on_GcG_name_mapped,30,23,-0.026141646158053256
48,GOMF,10,8,
