,Layer,Cholangitis nodes,Erysipelas nodes,sAB
0,coex_KDN,42,46,-0.024387308007126185
1,coex_BST,25,22,0.34401656314699824
2,coex_OVR,26,34,0.5077503315649867
3,coex_LNG,30,37,0.5359243942218082
4,coex_ITI,35,42,0.059591050797725975
5,coex_VGN,28,39,0.35585056390977443
6,coex_HRV,25,31,0.22541474654377902
7,coex_MSG,32,41,0.3083288088874039
8,coex_ADV,28,33,0.626324824600687
9,coex_EMS,23,27,0.608393719806763
10,coex_SMU,28,28,0.3085571835571832
11,coex_ARG,21,30,0.2061740558292282
12,coex_TST,32,43,0.12055232558139517
13,coex_PIT,32,37,0.02941468253968238
14,coex_LVR,31,41,0.2973161989684414
15,coex_THY,27,36,0.6774538185828507
16,coex_PNC,25,30,0.18672955974842775
17,coex_ATC,22,37,0.27805077805077794
18,coex_BRO,25,42,0.2743425728500357
19,coex_SKN,26,35,0.7403940886699507
20,coex_ADS,28,34,0.8490196078431373
21,coex_GEJ,28,36,0.7834323384526223
22,coex_BRB,21,31,0.34367245657568235
23,coex_UTR,19,29,0.1732522796352587
24,coex_STM,33,37,0.30025740025740033
25,coex_HRA,27,31,0.6197161638587785
26,coex_PRS,26,34,0.18652043868394852
27,coex_ATA,21,37,0.5853193094572404
28,coex_FIB,19,21,0.45085470085470103
29,coex_BRC,29,31,0.4299221357063403
30,coex_ATT,23,39,0.40598779557589637
31,coex_TNV,20,37,0.498015873015873
32,coex_SPL,23,32,0.8337015993265995
33,coex_LCL,19,21,0.30050125313283216
34,coex_CLS,30,40,0.6257790716745939
35,coex_EMC,21,34,0.016666666666666607
36,coex_CLT,32,40,0.2628490611458836
37,coex_core,38,43,0.3460168576447644
38,coex_WBL,28,36,0.3207671957671958
39,co-essential,11,6,0.3977272727272725
40,GOBP,24,21,0.4388888888888891
41,ppi,48,49,0.185935198821797
42,reactome_copathway,17,24,0.39109848484848486
43,MP,17,15,1.0804761904761904
44,HP,21,19,0.3993107769423556
45,GI_net,18,21,-0.009223509223509563
46,gene_gene_on_CbG_name_mapped,13,14,0.2219169719169718
47,gene_gene_on_GcG_name_mapped,30,30,-0.18333333333333313
48,GOMF,6,8,
