,Layer,Retinoblastoma nodes,Colon_cancer nodes,sAB
0,coex_KDN,46,45,0.019620114185331605
1,coex_BST,40,32,-0.08229166666666665
2,coex_OVR,38,28,-0.2605787974209026
3,coex_LNG,45,41,-0.17720426041469728
4,coex_ITI,44,41,0.07823464197208807
5,coex_VGN,40,39,-0.028339013307367766
6,coex_HRV,18,28,0.07867132867132876
7,coex_MSG,42,42,0.023809523809523947
8,coex_ADV,34,25,0.13412796697626428
9,coex_EMS,41,33,0.012106373204142873
10,coex_SMU,41,28,-0.10834217037822547
11,coex_ARG,40,31,-0.031547619047618936
12,coex_TST,45,41,0.09056532425789365
13,coex_PIT,42,37,-0.004805890881840025
14,coex_LVR,38,40,0.0007928475033740501
15,coex_THY,42,37,0.1511249042894609
16,coex_PNC,40,34,-0.12026774595267709
17,coex_ATC,45,33,0.045192307692307754
18,coex_BRO,41,35,0.06050797726022372
19,coex_SKN,42,37,0.011446886446886406
20,coex_ADS,39,32,0.4449767515348504
21,coex_GEJ,35,35,0.052864782276546896
22,coex_BRB,27,30,0.2945868945868946
23,coex_UTR,36,28,-0.12152777777777768
24,coex_STM,43,40,0.03147940599607724
25,coex_HRA,41,33,0.020305227622300803
26,coex_PRS,38,30,-0.19561403508771935
27,coex_ATA,41,35,0.11695397029158272
28,coex_FIB,41,33,-0.06518264840182653
29,coex_BRC,41,36,0.12002868405307443
30,coex_ATT,41,31,0.056100981767181146
31,coex_TNV,16,27,-0.3544973544973544
32,coex_SPL,43,34,-0.041168475846998565
33,coex_LCL,38,29,-0.10679476468950155
34,coex_CLS,38,41,0.013157894736842035
35,coex_EMC,40,37,-0.13304093567251463
36,coex_CLT,39,36,-0.06163003663003663
37,coex_core,45,42,-0.13869731800766272
38,coex_WBL,41,42,-0.11984873291073694
39,co-essential,24,17,-0.03522727272727266
40,GOBP,12,9,0.8397435897435894
41,ppi,50,50,-0.050000000000000044
42,reactome_copathway,34,35,0.056066176470588314
43,MP,10,15,-0.5388888888888888
44,HP,25,22,-0.3455899419729209
45,GI_net,37,26,-0.15952932756211435
46,gene_gene_on_CbG_name_mapped,13,18,-0.09277639922801195
47,gene_gene_on_GcG_name_mapped,36,33,0.04040404040404044
48,GOMF,3,4,
