,Layer,Episcleritis nodes,Neoplasm_of_the_skin nodes,sAB
0,coex_KDN,48,44,0.18533549783549774
1,coex_BST,32,33,0.21811868686868685
2,coex_OVR,36,33,0.2711397058823528
3,coex_LNG,42,38,0.23016917293233075
4,coex_ITI,43,40,0.10309610535163927
5,coex_VGN,40,35,0.16943866943866936
6,coex_HRV,25,29,0.444343800322061
7,coex_MSG,39,44,0.2732222596680427
8,coex_ADV,33,32,0.3691724941724943
9,coex_EMS,36,34,0.7233193277310923
10,coex_SMU,37,30,0.10159390159390136
11,coex_ARG,42,32,0.3511904761904763
12,coex_TST,40,38,0.10512820512820498
13,coex_PIT,41,29,0.06286194881653229
14,coex_LVR,40,32,0.28433662874683985
15,coex_THY,36,33,0.529704609116374
16,coex_PNC,32,31,0.04433083717357933
17,coex_ATC,39,38,0.36378889010467974
18,coex_BRO,38,37,0.30575312154259526
19,coex_SKN,37,38,0.3513513513513513
20,coex_ADS,32,36,1.025119936034115
21,coex_GEJ,35,34,0.5796086412855508
22,coex_BRB,26,29,0.07808054014950572
23,coex_UTR,33,30,0.21908545197740148
24,coex_STM,44,36,0.3554292929292928
25,coex_HRA,32,32,0.3893817204301073
26,coex_PRS,36,33,0.3307531840140534
27,coex_ATA,40,31,0.5515304847576212
28,coex_FIB,29,29,0.18719211822660098
29,coex_BRC,31,34,0.24276018099547492
30,coex_ATT,39,33,0.6918771222410867
31,coex_TNV,17,28,1.4044184981684982
32,coex_SPL,42,32,0.17458976833976836
33,coex_LCL,30,24,0.2505541346973572
34,coex_CLS,40,32,0.29153964315254655
35,coex_EMC,34,31,0.4937697659709046
36,coex_CLT,38,33,0.23693609022556372
37,coex_core,46,46,0.5869565217391304
38,coex_WBL,39,38,0.4063354852828538
39,co-essential,4,10,0.1714285714285717
40,GOBP,29,16,1.454310344827586
41,ppi,50,50,0.18999999999999995
42,reactome_copathway,20,27,0.7302884615384615
43,MP,16,9,0.4821428571428572
44,HP,18,24,0.40773809523809534
45,GI_net,18,24,0.1329365079365079
46,gene_gene_on_CbG_name_mapped,6,15,0.12857142857142856
47,gene_gene_on_GcG_name_mapped,33,39,0.07284382284382285
48,GOMF,13,4,
