,Layer,Hepatic_encephalopathy nodes,Erysipelas nodes,sAB
0,coex_KDN,42,46,0.13436382458121598
1,coex_BST,22,22,0.30601309259845877
2,coex_OVR,23,34,0.5852381713554986
3,coex_LNG,29,37,0.2191956847129264
4,coex_ITI,33,42,-0.01750863945985892
5,coex_VGN,23,39,0.5219561271995583
6,coex_HRV,20,31,0.2768433179723502
7,coex_MSG,28,41,0.23277407463515654
8,coex_ADV,33,33,0.18387262455059084
9,coex_EMS,25,27,0.20444444444444443
10,coex_SMU,23,28,0.39116733649981716
11,coex_ARG,25,30,0.015994361309911387
12,coex_TST,27,43,0.08178909806816792
13,coex_PIT,30,37,0.040476190476190554
14,coex_LVR,31,41,0.35018358248098624
15,coex_THY,25,36,0.26388888888888884
16,coex_PNC,23,30,0.20524296675191822
17,coex_ATC,25,37,0.19075850043591958
18,coex_BRO,30,42,0.0035714285714285587
19,coex_SKN,27,35,0.4527193145837214
20,coex_ADS,23,34,0.22216987481491435
21,coex_GEJ,27,36,0.618235294117647
22,coex_BRB,24,31,0.16926393434107312
23,coex_UTR,18,29,1.2414625424637942
24,coex_STM,27,37,0.23450012512512508
25,coex_HRA,30,31,0.5873756973077855
26,coex_PRS,19,34,0.47058823529411775
27,coex_ATA,22,37,0.21770499312872227
28,coex_FIB,20,21,0.0914634146341462
29,coex_BRC,29,31,0.37819799777530605
30,coex_ATT,24,39,0.1853070175438596
31,coex_TNV,21,37,0.6339807852965751
32,coex_SPL,34,32,0.5993482620320858
33,coex_LCL,15,21,0.195238095238095
34,coex_CLS,28,40,0.6221186221186223
35,coex_EMC,22,34,0.12175324675324672
36,coex_CLT,27,40,0.2298280423280421
37,coex_core,36,43,0.26147077309867983
38,coex_WBL,31,36,0.11898170438131928
39,co-essential,7,6,-0.11904761904761907
40,GOBP,18,21,0.17222222222222205
41,ppi,49,49,0.17346938775510212
42,reactome_copathway,23,24,0.6717171717171717
43,MP,15,15,1.4286749482401655
44,HP,27,19,0.32184930926349686
45,GI_net,23,21,-0.06107660455486519
46,gene_gene_on_CbG_name_mapped,31,14,0.3132872503840247
47,gene_gene_on_GcG_name_mapped,31,30,-0.14592808038075078
48,GOMF,9,8,
