,Layer,Urinary_bladder_inflammation nodes,Sepsis nodes,sAB
0,coex_KDN,34,39,-0.30419580419580394
1,coex_BST,21,19,-0.028822055137844416
2,coex_OVR,25,27,0.1688888888888891
3,coex_LNG,32,33,0.10970843672456576
4,coex_ITI,32,34,-0.2840073529411766
5,coex_VGN,27,19,-0.03161284854648705
6,coex_HRV,29,33,-0.06269592476489017
7,coex_MSG,33,39,-0.2803030303030303
8,coex_ADV,23,34,-0.20492888230807216
9,coex_EMS,17,24,-0.016738402678144748
10,coex_SMU,20,25,0.31439393939393945
11,coex_ARG,22,20,-0.17340301974448336
12,coex_TST,30,26,-0.3247252747252747
13,coex_PIT,34,32,-0.3610739750445633
14,coex_LVR,26,36,-0.1267094017094017
15,coex_THY,21,21,-0.09660278745644613
16,coex_PNC,25,29,-0.2931940700808626
17,coex_ATC,26,28,-0.038461538461538325
18,coex_BRO,34,32,-0.042418672014260084
19,coex_SKN,24,23,-0.46286231884058004
20,coex_ADS,26,23,-0.27155142993652337
21,coex_GEJ,22,30,-0.2893557422969186
22,coex_BRB,29,33,-0.17549634273772208
23,coex_UTR,14,20,0.030357142857142527
24,coex_STM,25,34,-0.07218344965104695
25,coex_HRA,24,31,-0.1407407407407406
26,coex_PRS,20,26,-0.6359725400457663
27,coex_ATA,25,31,0.16076463560334497
28,coex_FIB,20,23,-0.5098837209302327
29,coex_BRC,31,25,-0.20076463560334523
30,coex_ATT,21,22,-0.3242481203007519
31,coex_TNV,21,23,-0.40476190476190466
32,coex_SPL,23,32,0.0853202431042539
33,coex_LCL,15,19,-0.5070707070707072
34,coex_CLS,23,28,-0.09373235460191975
35,coex_EMC,24,28,-0.05775788576300078
36,coex_CLT,25,31,0.09417989417989414
37,coex_core,33,38,-0.038235638235638136
38,coex_WBL,26,34,0.2838612368024134
39,co-essential,10,11,-1.0681818181818183
40,GOBP,4,8,2.2857142857142856
41,ppi,50,49,-0.07063698206555347
42,reactome_copathway,26,26,0.11591836734693861
43,MP,9,8,0.29166666666666696
44,HP,16,14,-0.03720238095238115
45,GI_net,19,22,-0.5395363408521301
46,gene_gene_on_CbG_name_mapped,17,17,0.02941176470588247
47,gene_gene_on_GcG_name_mapped,33,32,-0.4290719696969698
48,GOMF,3,3,
