,Layer,Chorea nodes,Coarctation_of_aorta nodes,sAB
0,coex_KDN,42,48,0.04950396825396841
1,coex_BST,40,40,0.11331168831168803
2,coex_OVR,37,45,-0.06300446788251679
3,coex_LNG,40,43,-0.048833706920705655
4,coex_ITI,45,47,0.0893360057559871
5,coex_VGN,41,46,0.20184724710815338
6,coex_HRV,19,16,0.0031484962406014283
7,coex_MSG,44,44,-0.18181818181818188
8,coex_ADV,33,44,0.11147186147186172
9,coex_EMS,40,41,0.2124999999999999
10,coex_SMU,37,38,0.10420578473210051
11,coex_ARG,38,39,0.24648158858685187
12,coex_TST,47,46,-0.0221469567206789
13,coex_PIT,45,40,0.09232026143790861
14,coex_LVR,33,38,-0.06887818136891521
15,coex_THY,37,39,0.060769230769230465
16,coex_PNC,36,39,0.15050576892682166
17,coex_ATC,38,43,-0.012894504438901055
18,coex_BRO,42,41,0.1333732141107986
19,coex_SKN,41,44,0.00017607930090002277
20,coex_ADS,33,26,0.804055944055944
21,coex_GEJ,44,42,0.29680735930735924
22,coex_BRB,26,22,0.336120401337793
23,coex_UTR,31,40,0.15996706042707842
24,coex_STM,43,41,0.10181508791832106
25,coex_HRA,40,39,0.03817753975981808
26,coex_PRS,39,44,0.036901370234703634
27,coex_ATA,36,32,0.20918926871021215
28,coex_FIB,27,38,0.10680993493493496
29,coex_BRC,44,38,-0.05938557591317539
30,coex_ATT,39,41,0.3636257035647281
31,coex_TNV,21,15,-0.3300865800865802
32,coex_SPL,35,43,-0.008203424482494226
33,coex_LCL,26,37,0.08725370531822141
34,coex_CLS,39,41,0.08209290709290729
35,coex_EMC,39,43,0.05917215701674006
36,coex_CLT,42,43,0.15369031333463612
37,coex_core,43,45,0.16947380784590083
38,coex_WBL,35,33,-0.0051948051948051965
39,co-essential,13,16,1.2138532763532766
40,GOBP,23,15,0.7892857142857141
41,ppi,50,50,0.1299999999999999
42,reactome_copathway,16,15,0.55
43,MP,17,9,1.2386775362318847
44,HP,26,29,0.7778032312515073
45,GI_net,21,26,0.11300755981607047
46,gene_gene_on_CbG_name_mapped,8,2,0.050000000000000044
47,gene_gene_on_GcG_name_mapped,38,38,0.02631578947368407
48,GOMF,3,6,
