,Layer,Movement_disorder nodes,Primary_dilated_cardiomyopathy nodes,sAB
0,coex_KDN,34,31,0.1474398855258654
1,coex_BST,25,21,0.24416040100250624
2,coex_OVR,22,24,0.017210144927536586
3,coex_LNG,24,25,-0.24642857142857144
4,coex_ITI,33,27,0.008754208754208737
5,coex_VGN,27,28,-0.0006105006105006083
6,coex_HRV,20,40,0.8041666666666667
7,coex_MSG,30,44,0.36742424242424243
8,coex_ADV,23,20,0.2409504550050552
9,coex_EMS,26,34,0.7743092326947143
10,coex_SMU,24,36,0.46483255547367586
11,coex_ARG,32,21,0.8576923076923075
12,coex_TST,39,30,0.08433667781493859
13,coex_PIT,35,26,0.016635089048882
14,coex_LVR,29,18,0.30121464090649663
15,coex_THY,26,31,1.1410847217298832
16,coex_PNC,23,16,0.3311212814645308
17,coex_ATC,21,38,1.097839938830126
18,coex_BRO,41,27,0.03194547096986122
19,coex_SKN,25,24,0.40561224489795933
20,coex_ADS,21,21,0.27500000000000036
21,coex_GEJ,32,24,0.5273492286115009
22,coex_BRB,36,21,0.3342731829573935
23,coex_UTR,20,22,0.19567099567099566
24,coex_STM,31,29,0.048071931776047405
25,coex_HRA,26,43,0.26138808949729064
26,coex_PRS,22,43,0.4195966823873798
27,coex_ATA,26,19,0.8011246063877646
28,coex_FIB,24,17,0.2430241327300151
29,coex_BRC,39,30,0.28422490652861665
30,coex_ATT,23,29,0.46251874062968534
31,coex_TNV,19,26,0.47213622291021684
32,coex_SPL,22,23,0.047336721249764846
33,coex_LCL,22,24,0.536383572567783
34,coex_CLS,31,28,0.26111111111111107
35,coex_EMC,24,19,0.4179503637141635
36,coex_CLT,29,24,0.014096725222294548
37,coex_core,34,41,0.923704329710501
38,coex_WBL,31,34,0.892314990512334
39,co-essential,7,11,-0.026695526695526883
40,GOBP,18,23,2.0195873205741632
41,ppi,50,49,0.3552339723768294
42,reactome_copathway,11,17,0.9064171122994655
43,MP,7,25,2.0961904761904764
44,HP,20,38,0.9583484573502723
45,GI_net,16,17,0.19675047438330173
46,gene_gene_on_CbG_name_mapped,14,11,0.12389610389610395
47,gene_gene_on_GcG_name_mapped,35,27,0.021539511862092464
48,GOMF,4,2,
