,Layer,Ovarian_cyst nodes,Glaucoma nodes,sAB
0,coex_KDN,42,39,0.2931081264414599
1,coex_BST,19,21,-0.028850278850278688
2,coex_OVR,27,35,0.1273596176821985
3,coex_LNG,32,33,0.202116935483871
4,coex_ITI,38,37,0.22531057373162633
5,coex_VGN,36,40,0.24912280701754375
6,coex_HRV,19,26,0.5695456590193433
7,coex_MSG,35,41,0.12825050430955454
8,coex_ADV,20,19,0.5091430499325234
9,coex_EMS,24,29,0.5199459093982424
10,coex_SMU,28,29,0.4013914095583786
11,coex_ARG,29,29,0.6022167487684731
12,coex_TST,34,41,0.05641319942611189
13,coex_PIT,30,38,0.033178534571723484
14,coex_LVR,30,37,0.26116903541472514
15,coex_THY,25,32,0.8400877192982454
16,coex_PNC,32,34,0.157962109575013
17,coex_ATC,32,32,0.5433467741935485
18,coex_BRO,33,33,0.45975378787878785
19,coex_SKN,31,36,0.18249478414379716
20,coex_ADS,31,26,0.4547033611549738
21,coex_GEJ,32,27,0.7386051978581687
22,coex_BRB,23,27,0.5508856682769729
23,coex_UTR,22,28,0.3574217350813096
24,coex_STM,36,39,0.12944444444444447
25,coex_HRA,27,26,0.47208783529538234
26,coex_PRS,26,28,0.2652625152625152
27,coex_ATA,27,30,0.5914230019493179
28,coex_FIB,19,27,-0.015632028789923424
29,coex_BRC,24,35,0.20207828894269575
30,coex_ATT,27,32,0.5857125200840438
31,coex_TNV,19,28,0.6183574879227054
32,coex_SPL,29,27,-0.024265644955300036
33,coex_LCL,14,13,0.276098901098901
34,coex_CLS,32,30,-0.02701612903225792
35,coex_EMC,35,32,0.17100879530916835
36,coex_CLT,37,37,0.15074229158736197
37,coex_core,40,37,0.0904273504273505
38,coex_WBL,27,27,0.11111111111111116
39,co-essential,7,6,-0.48443223443223493
40,GOBP,20,9,0.5584126984126989
41,ppi,47,49,0.05784122159502103
42,reactome_copathway,11,23,0.3050264550264554
43,MP,18,11,0.81984126984127
44,HP,17,20,0.4165739268680446
45,GI_net,13,21,0.601098901098901
46,gene_gene_on_CbG_name_mapped,7,9,0.052579365079365115
47,gene_gene_on_GcG_name_mapped,29,38,-0.01705853671750157
48,GOMF,9,2,
