,Layer,Gingivostomatitis nodes,Primary_biliary_cholangitis nodes,sAB
0,coex_KDN,28,41,0.003036156137958823
1,coex_BST,8,17,0.02450980392156854
2,coex_OVR,13,20,0.26037296037296054
3,coex_LNG,39,30,0.9384719405003383
4,coex_ITI,20,36,0.029761904761904878
5,coex_VGN,15,29,0.5700738916256158
6,coex_HRV,21,20,0.9300751879699249
7,coex_MSG,36,28,0.28385816692268295
8,coex_ADV,31,24,1.2400774826059455
9,coex_EMS,11,22,0.27272727272727293
10,coex_SMU,14,22,0.11143856143856157
11,coex_ARG,11,18,0.6704110066179034
12,coex_TST,19,28,0.18523036314189723
13,coex_PIT,17,26,0.3087225274725274
14,coex_LVR,34,32,0.5247326203208555
15,coex_THY,15,30,0.4687565308254964
16,coex_PNC,20,22,0.24047619047619073
17,coex_ATC,29,24,0.46196754563894515
18,coex_BRO,21,24,0.39305555555555527
19,coex_SKN,19,28,0.49277920410783027
20,coex_ADS,22,22,0.38636363636363624
21,coex_GEJ,32,23,1.2028558244462677
22,coex_BRB,20,17,0.4449604403164775
23,coex_UTR,7,20,1.1235714285714287
24,coex_STM,31,30,0.9154591926670193
25,coex_HRA,21,27,0.8769856459330145
26,coex_PRS,9,26,0.170745920745921
27,coex_ATA,34,24,0.5736984448951992
28,coex_FIB,6,21,1.3042328042328042
29,coex_BRC,13,22,0.39685314685314665
30,coex_ATT,18,28,0.234320557491289
31,coex_TNV,13,19,0.38651315789473717
32,coex_SPL,37,35,1.2175139425139427
33,coex_LCL,13,20,1.5136752136752136
34,coex_CLS,12,29,0.14184952978056442
35,coex_EMC,31,30,0.7551724137931037
36,coex_CLT,21,32,0.6564786585365852
37,coex_core,36,37,0.9102678571428573
38,coex_WBL,35,33,0.7924747918163195
39,co-essential,1,2,
40,GOBP,18,18,0.7287499999999998
41,ppi,47,50,0.2852445711778899
42,reactome_copathway,20,19,0.9969814241486068
43,MP,14,22,0.8221500721500719
44,HP,14,27,0.5708801135630401
45,GI_net,12,25,0.2778609625668449
46,gene_gene_on_CbG_name_mapped,18,12,0.38611111111111107
47,gene_gene_on_GcG_name_mapped,25,33,0.06815047021943554
48,GOMF,9,8,0.0
