,Layer,Priapism nodes,Fatigue nodes,sAB
0,coex_KDN,34,43,0.10194254445964424
1,coex_BST,18,27,0.08333333333333348
2,coex_OVR,28,30,0.22105911330049244
3,coex_LNG,36,36,0.23008192524321558
4,coex_ITI,33,34,-0.04382499268364071
5,coex_VGN,26,35,0.13363016294050767
6,coex_HRV,25,21,0.2091165413533833
7,coex_MSG,29,35,0.11214593596059119
8,coex_ADV,20,33,0.35933014354066994
9,coex_EMS,22,33,-0.13181818181818228
10,coex_SMU,23,31,-0.07895693730195807
11,coex_ARG,19,33,-0.05066862961599794
12,coex_TST,29,31,-0.07074527252502771
13,coex_PIT,23,31,-0.1921198898758507
14,coex_LVR,30,43,0.28466223698781845
15,coex_THY,26,35,-0.18042871385842485
16,coex_PNC,20,30,-0.02499999999999991
17,coex_ATC,27,33,0.08333333333333326
18,coex_BRO,26,33,0.051815416222195765
19,coex_SKN,24,36,0.036706349206349076
20,coex_ADS,28,29,-0.05311530742565207
21,coex_GEJ,24,31,0.25483870967741895
22,coex_BRB,27,22,0.37830687830687815
23,coex_UTR,17,25,0.33150641025641026
24,coex_STM,29,32,-0.05871078292820808
25,coex_HRA,23,34,0.3424654150197628
26,coex_PRS,25,30,0.009393939393939288
27,coex_ATA,19,31,0.456910016977929
28,coex_FIB,16,29,-0.2066091954022986
29,coex_BRC,20,33,0.12223707664884143
30,coex_ATT,23,34,-0.1417461055568472
31,coex_TNV,20,20,-0.3765607712976138
32,coex_SPL,35,38,1.0284941806571224
33,coex_LCL,16,22,-0.07416267942583743
34,coex_CLS,27,36,0.02704096669613909
35,coex_EMC,21,34,-0.1590032239310819
36,coex_CLT,30,34,-0.026470588235294024
37,coex_core,34,40,0.021760645586966332
38,coex_WBL,29,36,0.2865826702033598
39,co-essential,6,9,-0.5277777777777781
40,GOBP,22,20,1.2272312373225156
41,ppi,48,49,0.20497580475489152
42,reactome_copathway,19,26,0.23931623931623935
43,MP,14,13,1.4102564102564097
44,HP,17,31,0.4384092346616064
45,GI_net,17,30,0.11853180296508858
46,gene_gene_on_CbG_name_mapped,19,20,0.1542172739541161
47,gene_gene_on_GcG_name_mapped,31,28,-0.19100991955010538
48,GOMF,7,4,
