,Layer,myoclonic_epilepsy nodes,Abetalipoproteinaemia nodes,sAB
0,coex_KDN,42,40,0.1869047619047619
1,coex_BST,34,31,0.41981304985337253
2,coex_OVR,35,36,0.14227028839704903
3,coex_LNG,41,37,0.38604364214120324
4,coex_ITI,39,40,0.2776046738072053
5,coex_VGN,38,33,0.10503852460857654
6,coex_HRV,14,24,0.09623015873015861
7,coex_MSG,37,40,0.11556686556686557
8,coex_ADV,35,28,0.28373015873015905
9,coex_EMS,36,30,0.25555555555555554
10,coex_SMU,36,30,0.108080808080808
11,coex_ARG,38,28,0.03611300979722021
12,coex_TST,45,36,0.04462025316455698
13,coex_PIT,41,32,-0.06686957066488475
14,coex_LVR,34,35,-0.05166812993854264
15,coex_THY,34,31,0.20892442998704874
16,coex_PNC,36,29,0.3172634836427939
17,coex_ATC,38,36,0.22550181760708088
18,coex_BRO,46,36,0.10523909985935309
19,coex_SKN,36,35,0.26529175050301834
20,coex_ADS,31,33,0.9667644183773216
21,coex_GEJ,36,32,0.41418579147274404
22,coex_BRB,25,27,0.3482905982905984
23,coex_UTR,33,21,0.08201058201058231
24,coex_STM,38,37,0.06688477951635852
25,coex_HRA,35,32,0.17342750533049034
26,coex_PRS,33,33,0.0
27,coex_ATA,36,30,0.28298611111111116
28,coex_FIB,32,26,0.14489389920424411
29,coex_BRC,40,34,0.08415032679738554
30,coex_ATT,36,32,0.38620580808080796
31,coex_TNV,22,21,0.9244172494172496
32,coex_SPL,36,36,0.125
33,coex_LCL,25,24,0.20500000000000007
34,coex_CLS,38,32,0.2031484962406016
35,coex_EMC,36,30,0.11969696969696964
36,coex_CLT,36,34,0.18279645191409877
37,coex_core,39,39,0.3346960057486372
38,coex_WBL,30,34,0.39564950980392144
39,co-essential,7,6,0.13736263736263732
40,GOBP,19,24,1.2259259259259263
41,ppi,49,50,0.07909915481344054
42,reactome_copathway,12,12,0.8818181818181821
43,MP,11,14,1.9227272727272724
44,HP,27,27,0.14814814814814814
45,GI_net,16,13,-0.27287798408488095
46,gene_gene_on_CbG_name_mapped,8,11,0.5325956937799043
47,gene_gene_on_GcG_name_mapped,41,30,-0.05028278543654996
48,GOMF,8,7,
