,Layer,Benign_Neonatal_Epilepsy nodes,Abetalipoproteinaemia nodes,sAB
0,coex_KDN,29,40,0.321176911544228
1,coex_BST,27,31,0.665760309809253
2,coex_OVR,18,36,0.31944444444444464
3,coex_LNG,22,37,0.7745908466247449
4,coex_ITI,37,40,0.3131625131625133
5,coex_VGN,37,33,0.6730548730548729
6,coex_HRV,21,24,0.36967054263565924
7,coex_MSG,26,40,0.36946386946386944
8,coex_ADV,22,28,0.6257792207792208
9,coex_EMS,27,30,1.0406432748538013
10,coex_SMU,16,30,0.304981884057971
11,coex_ARG,29,28,1.0714285714285716
12,coex_TST,35,36,0.4342822636300896
13,coex_PIT,31,32,0.12780817972350222
14,coex_LVR,15,35,0.3208333333333333
15,coex_THY,22,31,0.731090629800307
16,coex_PNC,31,29,0.6571931776047459
17,coex_ATC,24,36,0.7944444444444443
18,coex_BRO,43,36,0.2235918948091451
19,coex_SKN,28,35,0.4879391100702575
20,coex_ADS,29,33,0.8638723160413926
21,coex_GEJ,29,32,1.063112693757855
22,coex_BRB,38,27,0.2693432298695455
23,coex_UTR,17,21,0.6049710424710422
24,coex_STM,32,37,0.5722857582440124
25,coex_HRA,22,32,0.5603956228956228
26,coex_PRS,19,33,0.0789166973377502
27,coex_ATA,21,30,0.6734693877551021
28,coex_FIB,8,26,0.19598416289592802
29,coex_BRC,42,34,0.47194165471066474
30,coex_ATT,22,32,0.6362482492997197
31,coex_TNV,30,21,0.29499999999999993
32,coex_SPL,12,36,0.2777777777777781
33,coex_LCL,4,24,0.4391025641025639
34,coex_CLS,36,32,0.693423202614379
35,coex_EMC,20,30,0.5650000000000002
36,coex_CLT,33,34,0.4288101604278074
37,coex_core,38,39,0.605263157894737
38,coex_WBL,13,34,0.25105901607778947
39,co-essential,6,6,0.036363636363636154
40,GOBP,26,24,1.5287280701754389
41,ppi,50,50,0.29000000000000004
42,reactome_copathway,13,12,0.7070707070707072
43,MP,14,14,1.6727272727272728
44,HP,15,27,0.4079365079365078
45,GI_net,14,13,-0.07763532763532766
46,gene_gene_on_CbG_name_mapped,13,11,0.42336829836829826
47,gene_gene_on_GcG_name_mapped,35,30,0.13937728937728955
48,GOMF,6,7,
