,Layer,Tetralogy_of_Fallot nodes,Allergic_rhinitis nodes,sAB
0,coex_KDN,40,35,0.249006359300477
1,coex_BST,26,20,0.36923076923076925
2,coex_OVR,33,23,0.14275276866283826
3,coex_LNG,33,32,0.616883116883117
4,coex_ITI,38,25,0.31479042601923957
5,coex_VGN,36,22,0.26188610240334387
6,coex_HRV,25,22,0.5469825918762088
7,coex_MSG,38,32,0.2382283834586465
8,coex_ADV,30,23,1.1579436696745964
9,coex_EMS,24,24,0.6808770939205719
10,coex_SMU,22,21,0.20346320346320357
11,coex_ARG,22,17,0.12249602543720206
12,coex_TST,36,27,-0.021164021164021163
13,coex_PIT,31,24,0.37129629629629624
14,coex_LVR,26,23,0.22745887652719943
15,coex_THY,31,22,0.510427744298712
16,coex_PNC,25,22,0.10949494949494953
17,coex_ATC,38,27,0.2981063770537453
18,coex_BRO,31,25,0.20571428571428552
19,coex_SKN,33,28,0.2637292464878671
20,coex_ADS,28,28,0.9497354497354498
21,coex_GEJ,30,28,1.4360512129380054
22,coex_BRB,20,17,0.1980127186009537
23,coex_UTR,28,20,1.1501661129568106
24,coex_STM,34,25,0.24492900608519252
25,coex_HRA,27,21,0.44212962962962976
26,coex_PRS,29,24,0.2802991886409738
27,coex_ATA,28,24,0.2271428571428573
28,coex_FIB,17,13,0.24781297134238267
29,coex_BRC,26,20,0.16605351170568605
30,coex_ATT,32,26,0.6051973684210528
31,coex_TNV,21,21,0.6605263157894741
32,coex_SPL,27,22,0.3351714423142995
33,coex_LCL,9,9,-0.16666666666666652
34,coex_CLS,29,24,0.3504479377958081
35,coex_EMC,29,23,0.39907185444710813
36,coex_CLT,32,26,-0.004705188679245076
37,coex_core,35,31,0.538095238095238
38,coex_WBL,13,20,0.08094405594405618
39,co-essential,10,4,1.266666666666667
40,GOBP,12,17,1.2181818181818183
41,ppi,48,48,0.21875000000000022
42,reactome_copathway,16,14,0.29894179894179906
43,MP,14,16,0.8235576923076926
44,HP,27,13,0.5378917378917376
45,GI_net,11,13,-0.0034965034965033226
46,gene_gene_on_CbG_name_mapped,5,10,0.1333333333333333
47,gene_gene_on_GcG_name_mapped,37,26,0.031374781374781335
48,GOMF,8,9,
