,Layer,Crohn_disease nodes,Coarctation_of_aorta nodes,sAB
0,coex_KDN,38,48,0.3529554263565893
1,coex_BST,27,40,0.49740187949143166
2,coex_OVR,30,45,-0.005555555555555536
3,coex_LNG,34,43,0.2005674863692004
4,coex_ITI,38,47,0.18242540017126685
5,coex_VGN,32,46,0.07351258581235687
6,coex_HRV,25,16,0.7699038461538463
7,coex_MSG,36,44,0.0888888888888888
8,coex_ADV,24,44,0.7289438502673797
9,coex_EMS,26,41,0.1592948717948719
10,coex_SMU,28,38,0.29226475279106845
11,coex_ARG,28,39,0.24990432453119027
12,coex_TST,31,46,-0.025964918671791182
13,coex_PIT,30,40,0.139285714285714
14,coex_LVR,34,38,0.1651616787065704
15,coex_THY,31,39,0.6220134704005673
16,coex_PNC,28,39,0.34290271132376393
17,coex_ATC,31,43,0.30080436775860653
18,coex_BRO,32,41,0.393005554627464
19,coex_SKN,30,44,0.4217481856829992
20,coex_ADS,28,26,0.8607002801120447
21,coex_GEJ,27,42,0.5023402523402525
22,coex_BRB,22,22,0.9058441558441559
23,coex_UTR,19,40,0.33816904549509363
24,coex_STM,35,41,0.2208588379320089
25,coex_HRA,29,39,0.5756410256410254
26,coex_PRS,26,44,0.11904761904761907
27,coex_ATA,34,32,0.31149467231061134
28,coex_FIB,16,38,0.10610020397756248
29,coex_BRC,25,38,0.05983291562238913
30,coex_ATT,29,41,0.6701670070887897
31,coex_TNV,22,15,0.44766997708174205
32,coex_SPL,35,43,0.29985518357611385
33,coex_LCL,21,37,0.21646191646191637
34,coex_CLS,28,41,-0.0058035714285713524
35,coex_EMC,30,43,0.4123659339492409
36,coex_CLT,33,43,0.24754360465116276
37,coex_core,36,45,0.5178973277074541
38,coex_WBL,37,33,0.15990405990405998
39,co-essential,9,16,2.1597222222222223
40,GOBP,21,15,1.5266129032258062
41,ppi,50,50,0.19999999999999996
42,reactome_copathway,24,15,0.5314578005115091
43,MP,13,9,2.032051282051282
44,HP,21,29,0.8477832512315273
45,GI_net,18,26,0.22163947163947162
46,gene_gene_on_CbG_name_mapped,15,2,0.2666666666666666
47,gene_gene_on_GcG_name_mapped,31,38,0.0783260746536747
48,GOMF,8,6,
