,Layer,Basal_cell_carcinoma nodes,Renal_neoplasm nodes,sAB
0,coex_KDN,44,40,0.043049821664279175
1,coex_BST,41,32,0.05188669395255596
2,coex_OVR,41,31,0.26556738806824676
3,coex_LNG,43,37,0.3122171590194842
4,coex_ITI,44,40,0.10357142857142865
5,coex_VGN,43,31,0.18519494738549502
6,coex_HRV,19,21,0.704260651629073
7,coex_MSG,45,39,0.17399267399267404
8,coex_ADV,39,34,0.32026851910861853
9,coex_EMS,42,28,0.20273109243697496
10,coex_SMU,39,34,0.1548534060621085
11,coex_ARG,39,36,0.1151709401709402
12,coex_TST,46,39,0.24733425142632304
13,coex_PIT,44,35,0.2895242012889072
14,coex_LVR,38,37,0.22476055002370798
15,coex_THY,34,31,0.5449657869012707
16,coex_PNC,40,35,0.3931996086105678
17,coex_ATC,42,35,0.3616883116883116
18,coex_BRO,45,40,0.21469933020565968
19,coex_SKN,43,35,0.19355140983047958
20,coex_ADS,20,29,1.0527123633305298
21,coex_GEJ,39,31,-0.03950174234149895
22,coex_BRB,16,20,0.17619047619047645
23,coex_UTR,41,33,0.10052100735048453
24,coex_STM,39,34,0.1497138370627491
25,coex_HRA,42,31,-0.08401721271805229
26,coex_PRS,38,28,0.1701127819548871
27,coex_ATA,35,32,0.5055836886993603
28,coex_FIB,41,34,-0.06421329507412743
29,coex_BRC,44,36,0.15303030303030307
30,coex_ATT,39,33,0.10099320968886216
31,coex_TNV,14,19,1.1872469635627527
32,coex_SPL,41,33,0.043107408961067684
33,coex_LCL,36,35,0.1624051069703245
34,coex_CLS,42,34,0.15164502164502158
35,coex_EMC,43,33,0.1807606589147286
36,coex_CLT,42,36,0.13186813186813184
37,coex_core,42,42,0.25
38,coex_WBL,36,39,0.038247863247863334
39,co-essential,15,18,0.7224014336917564
40,GOBP,18,15,1.7972222222222225
41,ppi,49,50,0.10074829931972795
42,reactome_copathway,17,18,0.6034547152194212
43,MP,10,13,-0.19481605351170606
44,HP,21,20,0.19535423925667827
45,GI_net,23,25,0.5443478260869568
46,gene_gene_on_CbG_name_mapped,7,12,0.3151629072681703
47,gene_gene_on_GcG_name_mapped,31,37,0.07017026514180191
48,GOMF,3,5,
