,Layer,Renal_tubular_acidosis nodes,Cholelithiasis nodes,sAB
0,coex_KDN,41,30,0.29880952380952386
1,coex_BST,29,22,0.17642825155140418
2,coex_OVR,31,20,-0.0035385121790652008
3,coex_LNG,33,28,0.1490046838407495
4,coex_ITI,30,27,0.12855750487329454
5,coex_VGN,28,24,0.059523809523809534
6,coex_HRV,18,19,0.24866332497911436
7,coex_MSG,34,25,0.28518444666001996
8,coex_ADV,29,20,0.16559060895084365
9,coex_EMS,28,22,0.01135504706933288
10,coex_SMU,28,21,0.2729591836734695
11,coex_ARG,33,22,0.23469065656565657
12,coex_TST,33,26,0.16077989806803372
13,coex_PIT,33,24,0.10189393939393954
14,coex_LVR,29,32,0.4943735867721877
15,coex_THY,26,21,0.766056166056166
16,coex_PNC,26,19,0.3322537112010795
17,coex_ATC,27,21,-0.007275132275132323
18,coex_BRO,28,22,0.04136363636363649
19,coex_SKN,30,22,0.2722610722610721
20,coex_ADS,19,16,0.8472587719298246
21,coex_GEJ,31,19,0.039756649688738044
22,coex_BRB,15,13,0.058974358974358765
23,coex_UTR,24,17,0.1779650884744144
24,coex_STM,29,23,0.3704878330065735
25,coex_HRA,31,21,0.43482554312047395
26,coex_PRS,28,20,0.020238095238095166
27,coex_ATA,29,14,0.23117760617760652
28,coex_FIB,26,17,-0.11314847942754902
29,coex_BRC,30,23,0.1499999999999999
30,coex_ATT,29,21,0.21842364532019642
31,coex_TNV,11,17,0.8481748430597533
32,coex_SPL,32,27,0.0396657250470811
33,coex_LCL,25,14,0.03822055137844593
34,coex_CLS,28,26,0.38446275946275943
35,coex_EMC,29,26,0.09470529470529465
36,coex_CLT,30,24,0.2976851851851854
37,coex_core,38,27,0.14675577833472575
38,coex_WBL,36,24,0.10782163742690054
39,co-essential,18,4,-0.3282828282828283
40,GOBP,37,32,1.0181502525252526
41,ppi,49,48,0.26798644715618214
42,reactome_copathway,15,15,0.6769230769230767
43,MP,21,13,1.371428571428571
44,HP,36,20,0.35317460317460303
45,GI_net,18,12,0.25
46,gene_gene_on_CbG_name_mapped,17,19,0.24767801857585137
47,gene_gene_on_GcG_name_mapped,31,29,-0.34612532443455657
48,GOMF,13,4,
