,Layer,Small_cell_lung_carcinoma nodes,Lymphoma nodes,sAB
0,coex_KDN,38,48,-0.004931889721046412
1,coex_BST,28,30,-0.10360623781676415
2,coex_OVR,33,38,-0.1880124446840532
3,coex_LNG,36,46,0.11882879698362214
4,coex_ITI,34,46,0.07640664961636823
5,coex_VGN,34,42,-0.1285198289842251
6,coex_HRV,21,26,0.447202797202797
7,coex_MSG,39,46,0.13172994950488537
8,coex_ADV,27,32,0.3193835282651074
9,coex_EMS,37,36,-0.07174427949075834
10,coex_SMU,27,38,-0.0034637876743139895
11,coex_ARG,26,33,0.13310418395164159
12,coex_TST,42,42,-0.08333333333333326
13,coex_PIT,38,41,-0.07193984498139461
14,coex_LVR,28,41,0.028493157602383468
15,coex_THY,30,40,0.06519607843137276
16,coex_PNC,27,35,-0.0338965693804405
17,coex_ATC,37,44,0.1911289279710331
18,coex_BRO,41,39,0.11060819262038812
19,coex_SKN,36,42,0.13003663003663002
20,coex_ADS,28,35,1.0560334528076463
21,coex_GEJ,36,39,0.4167870470687376
22,coex_BRB,23,26,0.038752913752913676
23,coex_UTR,29,30,0.13925729442970836
24,coex_STM,33,42,0.3362984047915556
25,coex_HRA,32,35,0.10511363636363646
26,coex_PRS,31,37,0.3204395097184469
27,coex_ATA,26,35,0.21523809523809545
28,coex_FIB,28,36,-0.1336405529953919
29,coex_BRC,37,34,-0.07336601307189539
30,coex_ATT,32,39,0.461891931793017
31,coex_TNV,19,21,0.06302521008403339
32,coex_SPL,29,41,0.12017018750309205
33,coex_LCL,21,39,-0.024060150375939893
34,coex_CLS,35,39,-0.030501930501930508
35,coex_EMC,33,39,-0.03190143190143191
36,coex_CLT,35,39,-0.03807303807303786
37,coex_core,40,45,0.34362745098039205
38,coex_WBL,29,47,0.0030901722391085684
39,co-essential,10,21,1.1785714285714284
40,GOBP,15,8,1.1984126984126986
41,ppi,50,50,0.0800000000000003
42,reactome_copathway,20,34,0.1554418868996874
43,MP,15,9,1.5462662337662336
44,HP,19,32,0.29811661506707954
45,GI_net,25,32,-0.030866228070175472
46,gene_gene_on_CbG_name_mapped,15,10,0.060000000000000275
47,gene_gene_on_GcG_name_mapped,35,35,-0.22857142857142865
48,GOMF,1,4,
