,Layer,Pulmonary_fibrosis nodes,Vitiligo nodes,sAB
0,coex_KDN,42,41,0.22967829506178017
1,coex_BST,23,25,-0.05246376811594233
2,coex_OVR,30,30,0.3815184513006653
3,coex_LNG,36,36,0.3988795518207282
4,coex_ITI,35,37,0.3392964392964395
5,coex_VGN,29,34,0.3346816327906428
6,coex_HRV,32,18,0.11125000000000007
7,coex_MSG,39,34,0.1963625281514081
8,coex_ADV,31,26,0.24512428714466017
9,coex_EMS,28,25,0.3913342318059301
10,coex_SMU,25,24,-2.220446049250313e-16
11,coex_ARG,21,25,0.12385093167701866
12,coex_TST,34,31,-0.11099401270772224
13,coex_PIT,33,27,0.16907285575048725
14,coex_LVR,35,26,0.2948747973338137
15,coex_THY,28,29,0.3035714285714288
16,coex_PNC,29,30,0.09349667271627338
17,coex_ATC,30,32,0.47733446519524625
18,coex_BRO,29,30,0.0667153711279953
19,coex_SKN,28,30,0.025048732943469654
20,coex_ADS,29,27,0.46194546194546193
21,coex_GEJ,34,23,0.1493271221532093
22,coex_BRB,23,26,0.012737493773571362
23,coex_UTR,17,23,0.05632992327365738
24,coex_STM,34,33,0.5134718222953516
25,coex_HRA,31,22,0.19133459835547129
26,coex_PRS,30,21,0.1595238095238094
27,coex_ATA,28,31,0.5127301940427635
28,coex_FIB,26,21,-0.03748733535967563
29,coex_BRC,27,30,0.22953216374268992
30,coex_ATT,26,29,0.29734497772884216
31,coex_TNV,26,17,0.13585183626223296
32,coex_SPL,23,29,0.18140929535232386
33,coex_LCL,17,23,-0.046052631578947345
34,coex_CLS,29,30,0.13556399766218563
35,coex_EMC,33,31,0.206853238607271
36,coex_CLT,34,30,0.20057720057720063
37,coex_core,37,36,0.4787578674564974
38,coex_WBL,27,33,-0.02895622895622907
39,co-essential,14,6,-0.36666666666666714
40,GOBP,9,16,1.4732142857142856
41,ppi,50,49,-0.04046176046176053
42,reactome_copathway,27,23,0.5467494824016561
43,MP,13,19,-0.4860058922558923
44,HP,20,23,0.05937815975733063
45,GI_net,21,16,-0.4734350079744818
46,gene_gene_on_CbG_name_mapped,14,6,-0.3833333333333333
47,gene_gene_on_GcG_name_mapped,31,29,-0.2649425287356322
48,GOMF,3,10,
