,Layer,Chorea nodes,Inflammatory_bowel_disease nodes,sAB
0,coex_KDN,42,40,0.2047212047212048
1,coex_BST,40,22,0.3659861325115563
2,coex_OVR,37,30,0.4495890875201223
3,coex_LNG,40,39,0.4569660824407662
4,coex_ITI,45,41,0.45268166635154716
5,coex_VGN,41,27,0.4152585153302515
6,coex_HRV,19,28,0.7297632378819388
7,coex_MSG,44,39,0.25432850282247865
8,coex_ADV,33,32,0.7884324009324009
9,coex_EMS,40,25,0.3708333333333331
10,coex_SMU,37,26,0.3097465597465594
11,coex_ARG,38,25,0.2753216374269005
12,coex_TST,47,31,0.1763282473646235
13,coex_PIT,45,32,0.3251650631956233
14,coex_LVR,33,36,0.4607487922705311
15,coex_THY,37,31,0.7099582731503773
16,coex_PNC,36,28,0.39484126984126977
17,coex_ATC,38,36,0.24701675359570108
18,coex_BRO,42,32,0.40071991634491644
19,coex_SKN,41,27,0.1309049365003454
20,coex_ADS,33,32,0.9232488822652756
21,coex_GEJ,44,31,0.687878787878788
22,coex_BRB,26,26,0.8269230769230771
23,coex_UTR,31,19,0.6276486401012016
24,coex_STM,43,35,0.27121560609932693
25,coex_HRA,40,31,0.7154761904761906
26,coex_PRS,39,31,0.6719063545150503
27,coex_ATA,36,33,0.5170729029424677
28,coex_FIB,27,17,0.20712022182610434
29,coex_BRC,44,29,0.1314198909262676
30,coex_ATT,39,26,0.5130272952853598
31,coex_TNV,21,26,0.42161561842412887
32,coex_SPL,35,29,0.13928571428571423
33,coex_LCL,26,27,0.2568929110105582
34,coex_CLS,39,32,0.7833527952123776
35,coex_EMC,39,33,0.4060412152401591
36,coex_CLT,42,33,0.6717945624195623
37,coex_core,43,41,0.5252950868379114
38,coex_WBL,35,39,0.15836385836385825
39,co-essential,13,7,0.6501349527665319
40,GOBP,23,18,1.0055210918114144
41,ppi,50,49,0.3234817563388992
42,reactome_copathway,16,19,0.8113425925925926
43,MP,17,15,1.190524193548387
44,HP,26,23,1.1464917070507132
45,GI_net,21,25,0.5821428571428573
46,gene_gene_on_CbG_name_mapped,8,8,0.625
47,gene_gene_on_GcG_name_mapped,38,33,0.1588775074690567
48,GOMF,3,8,
