,Layer,Prostate_neoplasm nodes,Neoplasm_of_ovary nodes,sAB
0,coex_KDN,42,47,-0.1337040618955514
1,coex_BST,31,43,-0.14204902576995604
2,coex_OVR,32,40,-0.003308519437551727
3,coex_LNG,42,47,-0.09804853670725588
4,coex_ITI,41,47,-0.22459546162192767
5,coex_VGN,36,43,-0.06571566414810448
6,coex_HRV,26,16,0.3096646341463414
7,coex_MSG,41,45,0.14017772735866907
8,coex_ADV,27,35,-0.21042840075098135
9,coex_EMS,32,38,-0.3465930451127821
10,coex_SMU,34,37,-0.004539604539604447
11,coex_ARG,32,40,-0.16145833333333326
12,coex_TST,45,45,-0.022222222222222365
13,coex_PIT,35,42,0.024285714285714466
14,coex_LVR,37,39,0.23398803661961565
15,coex_THY,38,37,-0.1560376165639319
16,coex_PNC,30,37,0.12970283716552378
17,coex_ATC,33,38,-0.08488330300783953
18,coex_BRO,37,38,0.10756756756756758
19,coex_SKN,32,42,0.04106432674704896
20,coex_ADS,39,28,-0.052289377289377104
21,coex_GEJ,32,41,-0.21190253289644745
22,coex_BRB,29,18,0.3820208689981248
23,coex_UTR,21,39,-0.2793040293040292
24,coex_STM,42,46,-0.11100131752305686
25,coex_HRA,34,38,0.06127450980392157
26,coex_PRS,36,43,-0.1608410561286937
27,coex_ATA,33,35,0.018130888719123828
28,coex_FIB,29,42,-0.383403361344538
29,coex_BRC,35,42,0.2971861471861472
30,coex_ATT,29,33,-0.0622667562322734
31,coex_TNV,23,16,-0.5867224880382775
32,coex_SPL,29,39,-0.19563634472356561
33,coex_LCL,29,38,-0.33523766681661415
34,coex_CLS,36,43,0.07573002273124696
35,coex_EMC,36,40,0.02072072072072073
36,coex_CLT,40,45,-0.08751302897644342
37,coex_core,45,47,0.01867612293144183
38,coex_WBL,37,36,-0.16322144061870114
39,co-essential,20,28,0.4202380952380955
40,GOBP,8,16,1.6047619047619048
41,ppi,50,50,-0.1499999999999999
42,reactome_copathway,30,34,-0.01794351692931828
43,MP,8,13,-0.3624999999999998
44,HP,19,25,-0.21583732057416283
45,GI_net,31,38,-0.17731678547617835
46,gene_gene_on_CbG_name_mapped,16,10,-0.1629807692307692
47,gene_gene_on_GcG_name_mapped,35,38,-0.15053043567823687
48,GOMF,6,1,
