,Layer,Squamous_cell_carcinoma nodes,Medulloblastoma nodes,sAB
0,coex_KDN,45,47,-0.0991322507279957
1,coex_BST,35,37,0.17761690261690255
2,coex_OVR,36,37,-0.16990561990562014
3,coex_LNG,42,43,0.24947330038084425
4,coex_ITI,41,43,-0.059057882937633366
5,coex_VGN,37,39,-0.038260932997775
6,coex_HRV,30,19,-0.02021276595744692
7,coex_MSG,42,41,0.00036032632271232323
8,coex_ADV,32,35,0.03540521978021971
9,coex_EMS,35,39,0.17916047916047906
10,coex_SMU,33,42,-0.03294372294372283
11,coex_ARG,30,38,0.09697429368583577
12,coex_TST,39,46,-0.06341399436028583
13,coex_PIT,43,40,-0.10925329223872216
14,coex_LVR,38,36,-0.010352457720878894
15,coex_THY,35,39,-0.1317691317691314
16,coex_PNC,31,39,-0.11898853834337708
17,coex_ATC,32,40,0.27154702407996356
18,coex_BRO,37,40,-0.3577922077922078
19,coex_SKN,35,43,0.05025981770167798
20,coex_ADS,37,33,0.651039602652506
21,coex_GEJ,37,34,0.21386554621848752
22,coex_BRB,29,20,-0.45805770584095695
23,coex_UTR,26,32,-0.18165616710875332
24,coex_STM,40,42,-0.03434959349593503
25,coex_HRA,38,38,-0.07894736842105265
26,coex_PRS,38,38,-0.031294452347083945
27,coex_ATA,33,40,-0.09327251387110547
28,coex_FIB,34,40,-0.1412198912198912
29,coex_BRC,35,39,0.2397188397188399
30,coex_ATT,32,39,-0.044070512820512775
31,coex_TNV,30,15,0.21240310077519364
32,coex_SPL,27,42,-0.2657004830917873
33,coex_LCL,27,32,0.10079575596816981
34,coex_CLS,35,37,-0.12527541128084607
35,coex_EMC,35,39,-0.0784003801731441
36,coex_CLT,36,43,-0.03700160272135555
37,coex_core,44,44,0.045454545454545414
38,coex_WBL,38,36,0.028034884199267696
39,co-essential,20,21,0.7721988795518206
40,GOBP,8,9,1.291666666666667
41,ppi,50,50,0.020000000000000018
42,reactome_copathway,30,27,-0.06974143955276046
43,MP,11,14,0.44285714285714306
44,HP,26,30,0.014285714285714235
45,GI_net,34,37,-0.057257792551910214
46,gene_gene_on_CbG_name_mapped,15,12,-0.012962962962962843
47,gene_gene_on_GcG_name_mapped,32,37,-0.11606443399921673
48,GOMF,5,2,
