,Layer,Peritonitis nodes,Cholangitis nodes,sAB
0,coex_KDN,40,42,0.027976190476190155
1,coex_BST,31,25,0.23601382488479272
2,coex_OVR,35,26,0.6055575571969016
3,coex_LNG,42,30,0.5037659741557792
4,coex_ITI,39,35,0.15993923164074575
5,coex_VGN,36,28,0.3894257703081232
6,coex_HRV,23,25,0.48050724637681164
7,coex_MSG,41,32,0.28393856498496484
8,coex_ADV,32,28,0.7051613408521302
9,coex_EMS,34,23,0.6806546417193879
10,coex_SMU,28,28,0.254324379324379
11,coex_ARG,34,21,0.6553221288515405
12,coex_TST,39,32,0.23511421090646456
13,coex_PIT,36,32,0.22295026881720448
14,coex_LVR,39,31,0.31618811296230653
15,coex_THY,36,27,0.816951900558458
16,coex_PNC,30,25,0.2569696969696973
17,coex_ATC,38,22,0.30056921300115436
18,coex_BRO,38,25,0.45488721804511245
19,coex_SKN,37,26,0.45405405405405386
20,coex_ADS,32,28,1.2699353448275863
21,coex_GEJ,34,28,0.7012822370327441
22,coex_BRB,25,21,0.5666666666666664
23,coex_UTR,30,19,-0.007902298850574585
24,coex_STM,37,33,0.39060489060489045
25,coex_HRA,33,27,0.5467110704801708
26,coex_PRS,34,26,-0.006650049850448259
27,coex_ATA,35,21,0.5965367965367965
28,coex_FIB,30,19,0.3319444444444446
29,coex_BRC,29,29,0.3257389162561579
30,coex_ATT,39,23,0.6583253702818923
31,coex_TNV,22,20,0.8499999999999996
32,coex_SPL,39,23,0.3004031487638046
33,coex_LCL,26,19,0.2428699955015743
34,coex_CLS,35,30,0.7511904761904762
35,coex_EMC,40,21,0.19137931034482758
36,coex_CLT,39,32,0.3040830137604331
37,coex_core,42,38,0.4316134316134317
38,coex_WBL,40,28,0.642820619126589
39,co-essential,15,11,0.25874125874125875
40,GOBP,17,24,0.4145021645021645
41,ppi,50,48,0.193061224489796
42,reactome_copathway,23,17,0.10660252643948276
43,MP,11,17,0.3998701298701297
44,HP,18,21,0.13827838827838823
45,GI_net,27,18,0.06503014642549543
46,gene_gene_on_CbG_name_mapped,11,13,0.24446386946386967
47,gene_gene_on_GcG_name_mapped,33,30,0.029653679653679488
48,GOMF,1,6,
