,Layer,Hypertensive_disorder nodes,Coronary_artery_disorder nodes,sAB
0,coex_KDN,38,43,-0.05883458646616546
1,coex_BST,26,26,0.27692307692307705
2,coex_OVR,23,32,-0.037114955067269584
3,coex_LNG,29,37,0.1329181846423224
4,coex_ITI,36,42,-0.11826892619575524
5,coex_VGN,29,38,-0.021453530893626338
6,coex_HRV,24,31,-0.22720897615708235
7,coex_MSG,35,40,-0.05773809523809503
8,coex_ADV,24,25,-0.19253623188405777
9,coex_EMS,20,30,-0.054166666666666696
10,coex_SMU,26,28,-0.19953194953194964
11,coex_ARG,18,30,0.10113636363636358
12,coex_TST,32,39,0.13614459191043693
13,coex_PIT,29,41,-0.07376440904368486
14,coex_LVR,30,36,-0.12702020202020226
15,coex_THY,25,29,0.23843501326259986
16,coex_PNC,28,32,-0.1819940476190478
17,coex_ATC,28,28,0.09189514189514147
18,coex_BRO,30,37,-0.052642194433239364
19,coex_SKN,28,34,-0.15910364145658273
20,coex_ADS,25,30,0.07696969696969713
21,coex_GEJ,24,27,0.2339616904834294
22,coex_BRB,27,31,-0.06540188687018489
23,coex_UTR,11,21,0.3000733137829914
24,coex_STM,28,38,-0.02070517202096167
25,coex_HRA,25,29,0.2495490716180373
26,coex_PRS,26,29,-0.22492975734355047
27,coex_ATA,25,33,0.13922241280731829
28,coex_FIB,21,26,0.23462707505260694
29,coex_BRC,24,35,-0.21118845843422118
30,coex_ATT,22,32,-0.2579761904761906
31,coex_TNV,21,28,0.2247973657548128
32,coex_SPL,27,33,-0.28400673400673404
33,coex_LCL,16,16,-0.3648706896551728
34,coex_CLS,34,36,0.02941176470588225
35,coex_EMC,24,37,0.1430555555555557
36,coex_CLT,32,31,-0.07572484639016874
37,coex_core,34,40,0.06073609226594301
38,coex_WBL,25,29,0.13218390804597702
39,co-essential,6,9,1.4191919191919187
40,GOBP,8,17,1.019047619047619
41,ppi,50,49,0.05778602350030915
42,reactome_copathway,23,13,-0.04166666666666674
43,MP,13,17,0.10416666666666652
44,HP,23,15,0.26064073226544626
45,GI_net,26,12,0.13750000000000018
46,gene_gene_on_CbG_name_mapped,21,13,0.03695324283559587
47,gene_gene_on_GcG_name_mapped,37,32,0.046293576184880614
48,GOMF,3,7,
