,Layer,Kidney_damage nodes,Renal_insufficiency nodes,sAB
0,coex_KDN,46,41,0.33684377323533354
1,coex_BST,35,17,0.4198448610213317
2,coex_OVR,37,29,0.3064374814374813
3,coex_LNG,41,32,0.5954101236217841
4,coex_ITI,43,34,0.2665313482686944
5,coex_VGN,39,30,0.3255852842809366
6,coex_HRV,24,17,0.30933503836317167
7,coex_MSG,44,36,0.31414141414141405
8,coex_ADV,30,20,0.45833333333333326
9,coex_EMS,34,22,0.13436974789915945
10,coex_SMU,35,23,0.3828228742771471
11,coex_ARG,36,23,0.10201863354037277
12,coex_TST,43,33,0.18503579244093316
13,coex_PIT,43,28,0.18885405455991755
14,coex_LVR,25,31,0.20724014336917573
15,coex_THY,40,23,0.7856797791580399
16,coex_PNC,32,27,0.27533545197740095
17,coex_ATC,38,31,0.8049629684308952
18,coex_BRO,42,26,0.38493859082094395
19,coex_SKN,40,27,0.4348646723646721
20,coex_ADS,30,23,0.3852064533770849
21,coex_GEJ,33,22,0.25929102344196675
22,coex_BRB,32,29,0.4554126625211985
23,coex_UTR,32,19,0.3410087719298245
24,coex_STM,39,28,0.22545924225028702
25,coex_HRA,36,23,0.5011123824052885
26,coex_PRS,32,25,0.3589473684210529
27,coex_ATA,32,32,0.6968445980542755
28,coex_FIB,28,16,0.1294642857142856
29,coex_BRC,37,22,0.3150272768916835
30,coex_ATT,36,25,0.683570127504554
31,coex_TNV,29,22,0.8263762855414396
32,coex_SPL,33,24,0.548744019138756
33,coex_LCL,18,18,0.8939393939393938
34,coex_CLS,37,26,0.5481057981057982
35,coex_EMC,39,24,0.39392551892551886
36,coex_CLT,39,30,0.3044593088071348
37,coex_core,42,31,0.48939393939393927
38,coex_WBL,17,22,0.22283650302226166
39,co-essential,4,6,0.0
40,GOBP,25,12,0.5164141414141414
41,ppi,48,49,0.12278210253173438
42,reactome_copathway,13,16,0.3654863654863658
43,MP,22,11,-0.014204545454545414
44,HP,21,31,0.37145929339477735
45,GI_net,14,19,-0.13946155711860309
46,gene_gene_on_CbG_name_mapped,4,11,0.281060606060606
47,gene_gene_on_GcG_name_mapped,34,26,-0.13107088989441928
48,GOMF,4,3,
