,Layer,Mastocytosis nodes,Pneumonia nodes,sAB
0,coex_KDN,42,36,-0.014532389532389667
1,coex_BST,22,23,-0.29732948211209087
2,coex_OVR,29,28,-0.1758803138113485
3,coex_LNG,33,35,0.3012987012987012
4,coex_ITI,33,31,-0.19320134849286097
5,coex_VGN,33,22,-0.007575757575757347
6,coex_HRV,22,31,-0.16013584117032376
7,coex_MSG,33,38,-0.06818743401397209
8,coex_ADV,26,35,0.23134570347685113
9,coex_EMS,35,26,0.6629260569938533
10,coex_SMU,20,23,0.021132457027300378
11,coex_ARG,27,22,-0.05885780885780867
12,coex_TST,31,25,-0.08382488479262662
13,coex_PIT,29,33,-0.058195975326119864
14,coex_LVR,27,32,-0.22813677024482115
15,coex_THY,22,23,-0.0183135704874835
16,coex_PNC,23,26,-0.16261688621937065
17,coex_ATC,32,26,-0.10144230769230766
18,coex_BRO,32,35,-0.08935900852878476
19,coex_SKN,33,23,0.2283549783549783
20,coex_ADS,30,24,0.32660256410256405
21,coex_GEJ,33,30,0.7457949910675161
22,coex_BRB,25,28,0.011675824175824134
23,coex_UTR,24,17,-0.010416666666666519
24,coex_STM,29,31,0.18470522803114586
25,coex_HRA,21,25,-0.17666666666666675
26,coex_PRS,26,28,0.0836263736263736
27,coex_ATA,28,26,-0.10576923076923084
28,coex_FIB,16,26,0.30437271062271076
29,coex_BRC,23,24,0.05750847980265217
30,coex_ATT,29,24,0.29575596816976146
31,coex_TNV,24,24,0.2776162790697674
32,coex_SPL,27,23,-0.18392914653784231
33,coex_LCL,20,16,-0.26319444444444473
34,coex_CLS,29,24,0.08231674257211008
35,coex_EMC,28,27,-0.1205575521613258
36,coex_CLT,35,29,-0.06132280498406262
37,coex_core,36,34,0.15756302521008392
38,coex_WBL,32,30,0.19122983870967758
39,co-essential,8,9,1.2930555555555552
40,GOBP,13,12,1.6411943319838058
41,ppi,48,50,0.21102891156462578
42,reactome_copathway,20,25,0.3087209302325582
43,MP,9,11,1.0375
44,HP,18,12,0.13055555555555554
45,GI_net,22,22,-0.06813148092217847
46,gene_gene_on_CbG_name_mapped,14,14,0.1071428571428572
47,gene_gene_on_GcG_name_mapped,26,29,-0.09329635881360021
48,GOMF,6,2,
