,Layer,Disorder_of_orbital_region nodes,Keratitis nodes,sAB
0,coex_KDN,27,39,0.12198912198912204
1,coex_BST,25,29,0.11525198938992043
2,coex_OVR,23,41,0.17276570048309203
3,coex_LNG,24,35,0.22663116970926334
4,coex_ITI,27,35,0.050422805657103
5,coex_VGN,24,39,0.21787240537240526
6,coex_HRV,10,20,0.7046296296296295
7,coex_MSG,26,45,0.16207415432767536
8,coex_ADV,20,30,0.4099999999999999
9,coex_EMS,15,31,0.5693782141187467
10,coex_SMU,19,25,-0.03502392344497629
11,coex_ARG,20,31,0.5870177103099303
12,coex_TST,28,35,-0.017063492063492003
13,coex_PIT,28,37,-0.07777695277695296
14,coex_LVR,18,32,0.140625
15,coex_THY,21,24,-0.12242063492063515
16,coex_PNC,20,32,0.09711538461538449
17,coex_ATC,21,30,0.09859943977591068
18,coex_BRO,28,35,0.1248243559718969
19,coex_SKN,22,37,0.1879398659059679
20,coex_ADS,19,31,0.7550505050505047
21,coex_GEJ,16,40,0.26923076923076916
22,coex_BRB,20,24,0.31155885471898204
23,coex_UTR,18,22,0.08686868686868676
24,coex_STM,19,33,-0.11507790455158906
25,coex_HRA,16,31,0.691485507246377
26,coex_PRS,23,32,-0.002997122762148585
27,coex_ATA,18,29,0.007071818700578714
28,coex_FIB,16,21,0.16365025740025763
29,coex_BRC,26,27,-0.05702037305810892
30,coex_ATT,21,27,0.07156495986283229
31,coex_TNV,15,21,0.46031746031746046
32,coex_SPL,20,28,-0.06428571428571428
33,coex_LCL,15,21,-0.1071428571428572
34,coex_CLS,24,30,0.13611111111111107
35,coex_EMC,21,34,0.12002262443438916
36,coex_CLT,29,33,0.19017763845350055
37,coex_core,22,43,0.308735192456123
38,coex_WBL,18,30,0.03611111111111143
39,co-essential,3,6,-0.19444444444444464
40,GOBP,28,20,1.7774993038150932
41,ppi,50,50,0.15000000000000013
42,reactome_copathway,10,20,2.188995215311005
43,MP,27,16,2.2743589743589743
44,HP,34,33,0.5513142841940033
45,GI_net,17,25,-0.040242448330683356
46,gene_gene_on_CbG_name_mapped,11,6,0.43939393939393945
47,gene_gene_on_GcG_name_mapped,37,30,-0.006259244318945756
48,GOMF,6,2,
