,Layer,Purpura nodes,Pulmonary_arterial_hypertension nodes,sAB
0,coex_KDN,41,44,0.015785183252902124
1,coex_BST,24,27,-0.06843800322061178
2,coex_OVR,30,35,0.21886446886446898
3,coex_LNG,39,37,0.6826148010358537
4,coex_ITI,40,40,0.1625000000000001
5,coex_VGN,30,38,0.13132094943240458
6,coex_HRV,22,26,0.7018850714502887
7,coex_MSG,38,36,0.17603129445234722
8,coex_ADV,29,24,0.47491638795986635
9,coex_EMS,27,33,0.12777777777777777
10,coex_SMU,26,31,0.1302197802197802
11,coex_ARG,30,34,0.5254901960784315
12,coex_TST,30,42,0.13888888888888906
13,coex_PIT,29,38,0.0740860772621208
14,coex_LVR,36,38,0.2810359231411863
15,coex_THY,37,37,0.42594820848245485
16,coex_PNC,25,34,0.0750448654037883
17,coex_ATC,36,33,0.12068445650535198
18,coex_BRO,33,37,0.0639756639756639
19,coex_SKN,31,36,0.3007141710800836
20,coex_ADS,30,31,0.356140350877193
21,coex_GEJ,32,28,0.3577651515151512
22,coex_BRB,23,31,0.2720125786163523
23,coex_UTR,17,23,0.36946770334928214
24,coex_STM,33,39,0.16996891996892005
25,coex_HRA,27,31,0.18131256952169084
26,coex_PRS,28,28,-0.07142857142857162
27,coex_ATA,32,38,0.0007988721804514931
28,coex_FIB,22,21,0.06596697875767665
29,coex_BRC,24,39,0.132109507640068
30,coex_ATT,35,33,0.02505729564553061
31,coex_TNV,19,20,0.625
32,coex_SPL,42,36,0.3090659340659343
33,coex_LCL,24,22,-0.08551587301587316
34,coex_CLS,33,33,0.2727272727272727
35,coex_EMC,33,35,-0.0013435496315215012
36,coex_CLT,33,37,0.13838773838773832
37,coex_core,42,42,0.45238095238095255
38,coex_WBL,43,35,0.47047448675355663
39,co-essential,6,9,2.333333333333333
40,GOBP,19,13,0.23611111111111072
41,ppi,48,49,0.20570779858335064
42,reactome_copathway,18,16,0.217892156862745
43,MP,13,7,-0.2963659147869673
44,HP,30,36,0.3739898989898989
45,GI_net,19,23,-0.2665930560667402
46,gene_gene_on_CbG_name_mapped,12,8,-0.11250000000000004
47,gene_gene_on_GcG_name_mapped,35,32,-0.10557702558635396
48,GOMF,5,6,
