,Layer,Renovascular_hypertension nodes,Vasculitis nodes,sAB
0,coex_KDN,43,40,-0.0038210983468760507
1,coex_BST,24,16,0.42489035087719307
2,coex_OVR,26,30,0.4125457875457874
3,coex_LNG,31,40,0.321955929123126
4,coex_ITI,39,38,0.6201900280847652
5,coex_VGN,33,33,0.3851252913752914
6,coex_HRV,21,30,0.07058823529411762
7,coex_MSG,39,39,0.20512820512820507
8,coex_ADV,21,35,0.8215488215488218
9,coex_EMS,23,27,0.18628019323671507
10,coex_SMU,27,25,0.14521367521367523
11,coex_ARG,21,30,0.26134453781512645
12,coex_TST,32,31,-0.04777905785970327
13,coex_PIT,33,35,0.0704831457684838
14,coex_LVR,27,36,0.1521164021164021
15,coex_THY,24,35,0.5656880548829704
16,coex_PNC,25,29,-0.011765343743222578
17,coex_ATC,28,40,0.4445378151260502
18,coex_BRO,24,36,0.08750000000000013
19,coex_SKN,30,31,0.06451612903225801
20,coex_ADS,26,35,0.18192400819519472
21,coex_GEJ,18,36,0.6431742508324083
22,coex_BRB,25,31,0.06341696535244923
23,coex_UTR,20,15,0.4446428571428571
24,coex_STM,30,31,0.5423761678124448
25,coex_HRA,25,20,1.0771291866028712
26,coex_PRS,30,28,1.0273809523809523
27,coex_ATA,20,36,0.38809523809523805
28,coex_FIB,20,9,0.16104363472784522
29,coex_BRC,26,18,-0.16472416472416462
30,coex_ATT,26,35,0.7225490196078432
31,coex_TNV,21,26,0.4986580086580088
32,coex_SPL,29,44,0.34900910379181527
33,coex_LCL,14,21,-0.07566391941391948
34,coex_CLS,26,32,0.6928464854111407
35,coex_EMC,31,36,0.6213517665130568
36,coex_CLT,37,37,0.6004472782641797
37,coex_core,38,40,0.5476748377793801
38,coex_WBL,21,41,0.24275973174478271
39,co-essential,7,2,-2.071428571428571
40,GOBP,10,18,1.2999999999999998
41,ppi,50,50,0.16999999999999993
42,reactome_copathway,16,20,0.21944444444444455
43,MP,12,15,0.29761904761904745
44,HP,24,31,0.301014173998045
45,GI_net,14,17,0.29867724867724865
46,gene_gene_on_CbG_name_mapped,16,8,0.1875
47,gene_gene_on_GcG_name_mapped,38,36,-0.05571360834518724
48,GOMF,5,5,
