,Layer,Gastrointestinal_hemorrhage nodes,beta_Thalassemia nodes,sAB
0,coex_KDN,43,29,0.12208729522282047
1,coex_BST,35,19,0.17248677248677247
2,coex_OVR,37,21,0.032951670882705564
3,coex_LNG,35,31,0.48052995391705045
4,coex_ITI,44,24,0.18660873440285197
5,coex_VGN,42,25,0.07331911869225305
6,coex_HRV,24,16,0.13244047619047583
7,coex_MSG,41,26,0.10870600095208771
8,coex_ADV,32,20,0.43647959183673457
9,coex_EMS,33,22,0.10757575757575744
10,coex_SMU,32,19,0.0806944444444444
11,coex_ARG,35,22,-0.01753246753246751
12,coex_TST,38,24,0.07827532541029991
13,coex_PIT,40,25,0.048461538461538556
14,coex_LVR,36,33,0.3900894187779431
15,coex_THY,35,19,0.33736148547469336
16,coex_PNC,35,21,0.06547619047619069
17,coex_ATC,38,22,0.057256778309409784
18,coex_BRO,40,24,0.30112942612942595
19,coex_SKN,41,18,-0.014124293785310993
20,coex_ADS,23,16,0.847266624040921
21,coex_GEJ,36,19,0.023709483793517228
22,coex_BRB,21,15,0.11459293394777292
23,coex_UTR,29,21,0.09477832512315265
24,coex_STM,40,26,0.23269230769230775
25,coex_HRA,29,19,0.15366001209921354
26,coex_PRS,33,27,0.3387314439946021
27,coex_ATA,31,17,0.19595983554712193
28,coex_FIB,27,17,-0.1279877260981912
29,coex_BRC,35,23,0.1579353180552583
30,coex_ATT,36,17,0.7646901709401708
31,coex_TNV,11,15,0.17857142857142883
32,coex_SPL,34,38,0.8675295013323181
33,coex_LCL,21,16,0.269047619047619
34,coex_CLS,40,24,0.3077868852459016
35,coex_EMC,39,26,0.10500610500610508
36,coex_CLT,41,24,0.035858348968105025
37,coex_core,44,32,0.36452956522712765
38,coex_WBL,36,34,0.3021390374331552
39,co-essential,14,11,0.20324675324675323
40,GOBP,18,28,1.0403593117408905
41,ppi,49,50,0.221539888682746
42,reactome_copathway,17,10,0.3555555555555556
43,MP,14,15,1.8928571428571423
44,HP,31,22,0.9663033254025342
45,GI_net,29,16,0.27305533279871685
46,gene_gene_on_CbG_name_mapped,16,15,0.3243951612903224
47,gene_gene_on_GcG_name_mapped,40,32,-0.048958333333333215
48,GOMF,5,2,
