,Layer,Orchitis nodes,Cryptorchidism nodes,sAB
0,coex_KDN,37,36,0.2856658027890904
1,coex_BST,19,31,0.09143322014714172
2,coex_OVR,23,38,0.057030695178726276
3,coex_LNG,35,35,0.4285714285714284
4,coex_ITI,32,35,0.2950425918167854
5,coex_VGN,25,34,0.28409090909090917
6,coex_HRV,24,19,0.6359394124847
7,coex_MSG,33,36,0.09628897672375936
8,coex_ADV,27,25,0.47680911680911686
9,coex_EMS,22,31,0.11192109777015435
10,coex_SMU,22,33,0.41666666666666696
11,coex_ARG,20,36,0.3277777777777777
12,coex_TST,32,40,0.02534722222222241
13,coex_PIT,30,34,0.13382352941176467
14,coex_LVR,28,31,-0.0003807701320002188
15,coex_THY,27,32,0.8116858913998746
16,coex_PNC,26,32,0.5532576259946951
17,coex_ATC,31,33,0.5490438660801564
18,coex_BRO,32,33,0.3678467365967366
19,coex_SKN,26,35,0.19469464961268246
20,coex_ADS,27,24,0.5220588235294121
21,coex_GEJ,22,34,0.5299700299700301
22,coex_BRB,23,17,0.4412404092071611
23,coex_UTR,15,29,-0.05853658536585371
24,coex_STM,30,34,0.18553921568627452
25,coex_HRA,22,35,0.44240019240019235
26,coex_PRS,23,29,0.03605015673981171
27,coex_ATA,28,31,1.1547758692919985
28,coex_FIB,22,30,0.2781670661995206
29,coex_BRC,17,33,0.38563279857397514
30,coex_ATT,25,32,0.8478618421052633
31,coex_TNV,24,15,0.6623188405797102
32,coex_SPL,30,33,0.15054644808743167
33,coex_LCL,14,27,0.06018518518518512
34,coex_CLS,25,34,0.3297208374875371
35,coex_EMC,32,29,0.18893373758036258
36,coex_CLT,32,37,0.4064225515838418
37,coex_core,36,38,0.5453216374269005
38,coex_WBL,32,36,0.12094017094017095
39,co-essential,2,15,-0.7321428571428577
40,GOBP,13,15,1.6150793650793651
41,ppi,49,50,0.3330983302411876
42,reactome_copathway,24,23,0.08419016842929872
43,MP,16,10,2.220238095238095
44,HP,24,32,0.2872023809523807
45,GI_net,20,29,0.2980519480519481
46,gene_gene_on_CbG_name_mapped,8,22,-0.011363636363636243
47,gene_gene_on_GcG_name_mapped,27,29,-0.009943440977923546
48,GOMF,5,7,
