,Layer,Glioma nodes,Medulloblastoma nodes,sAB
0,coex_KDN,44,47,-0.28810819726208137
1,coex_BST,39,37,0.007276507276507305
2,coex_OVR,38,37,-0.09021697754092117
3,coex_LNG,36,43,-0.21649821738134944
4,coex_ITI,40,43,-0.08483118520594002
5,coex_VGN,38,39,-0.23321853585011487
6,coex_HRV,18,19,-0.117647058823529
7,coex_MSG,43,41,-0.10768981443967252
8,coex_ADV,28,35,-0.24151053864168603
9,coex_EMS,36,39,-0.19717866071613055
10,coex_SMU,35,42,0.04350649350649349
11,coex_ARG,37,38,-0.1473210052157421
12,coex_TST,39,46,-0.10413797626073817
13,coex_PIT,43,40,-0.08893947884561504
14,coex_LVR,40,36,-0.15581831831831838
15,coex_THY,35,39,-0.029463418665675256
16,coex_PNC,39,39,-0.3377192982456143
17,coex_ATC,41,40,0.08129824019759169
18,coex_BRO,39,40,-0.17369360597208683
19,coex_SKN,35,43,-0.13179146434960387
20,coex_ADS,30,33,0.08744428495882772
21,coex_GEJ,35,34,-0.2856506238859178
22,coex_BRB,31,20,-0.30837336993822917
23,coex_UTR,30,32,-0.09808467741935467
24,coex_STM,35,42,-0.15822510822510827
25,coex_HRA,35,38,-0.24380986713358732
26,coex_PRS,39,38,-0.27171074539495566
27,coex_ATA,34,40,-0.0013712241653420776
28,coex_FIB,37,40,-0.3244017094017093
29,coex_BRC,40,39,0.14024667315806538
30,coex_ATT,35,39,-0.14475328592975645
31,coex_TNV,19,15,0.21173245614035086
32,coex_SPL,32,42,-0.13738738738738743
33,coex_LCL,30,32,0.03053769725306843
34,coex_CLS,38,37,-0.09159159159159147
35,coex_EMC,36,39,-0.04822294822294815
36,coex_CLT,37,43,-0.14444229560508615
37,coex_core,41,44,-0.03728968305725844
38,coex_WBL,38,36,-0.03844634107792011
39,co-essential,14,21,0.34999999999999964
40,GOBP,10,9,0.09752747252747263
41,ppi,49,50,-0.11206349206349198
42,reactome_copathway,27,27,0.01876990112284216
43,MP,11,14,0.01922077922077925
44,HP,20,30,-0.10833333333333317
45,GI_net,26,37,-0.028744846541456592
46,gene_gene_on_CbG_name_mapped,11,12,-0.17292490118577075
47,gene_gene_on_GcG_name_mapped,32,37,-0.2209104484919704
48,GOMF,4,2,
