,Layer,Chorea nodes,Oligomenorrhea nodes,sAB
0,coex_KDN,42,34,-0.0009582780480614783
1,coex_BST,40,28,0.24532967032967035
2,coex_OVR,37,33,0.029664691429397427
3,coex_LNG,40,25,0.39096153846153836
4,coex_ITI,45,32,0.5409722222222222
5,coex_VGN,41,28,0.1157652880876634
6,coex_HRV,19,13,0.21887651821862342
7,coex_MSG,44,29,0.09322261347532934
8,coex_ADV,33,27,0.18332752815511455
9,coex_EMS,40,21,0.3620023419203746
10,coex_SMU,37,24,0.07289359031162324
11,coex_ARG,38,32,0.34252318140263793
12,coex_TST,47,32,-0.09396882574737409
13,coex_PIT,45,32,0.14919112661048128
14,coex_LVR,33,29,0.19892473118279552
15,coex_THY,37,26,0.8931693989071037
16,coex_PNC,36,24,-0.03611111111111098
17,coex_ATC,38,30,0.10433436532507745
18,coex_BRO,42,27,-0.0866689671037495
19,coex_SKN,41,30,0.13983739837398357
20,coex_ADS,33,23,1.2120158102766796
21,coex_GEJ,44,32,0.5951704545454546
22,coex_BRB,26,19,0.5248313090418355
23,coex_UTR,31,24,-0.06455278592375358
24,coex_STM,43,27,0.20829334317706416
25,coex_HRA,40,33,0.23106060606060597
26,coex_PRS,39,20,0.16623207301173393
27,coex_ATA,36,31,0.30817972350230427
28,coex_FIB,27,22,0.14608671751528912
29,coex_BRC,44,29,-0.11634199134199141
30,coex_ATT,39,28,0.19539835164835173
31,coex_TNV,21,22,0.7582417582417582
32,coex_SPL,35,24,0.04263518966908797
33,coex_LCL,26,18,0.05149870801033596
34,coex_CLS,39,25,0.14987789987790023
35,coex_EMC,39,26,-0.00512820512820511
36,coex_CLT,42,27,0.23017668605903885
37,coex_core,43,36,0.4493439377160309
38,coex_WBL,35,28,-0.03128078817733981
39,co-essential,13,9,-0.38694638694638694
40,GOBP,23,17,0.8378676470588236
41,ppi,50,45,0.12637426900584803
42,reactome_copathway,16,17,0.6238425925925926
43,MP,17,12,0.802083333333333
44,HP,26,37,0.7097399597399596
45,GI_net,21,17,0.04047619047619033
46,gene_gene_on_CbG_name_mapped,8,6,0.08333333333333348
47,gene_gene_on_GcG_name_mapped,38,34,-0.01879084967320277
48,GOMF,3,6,
