,Layer,Epilepsy nodes,myoclonic_epilepsy nodes,sAB
0,coex_KDN,34,42,-0.294596786082854
1,coex_BST,26,34,0.05126229702500873
2,coex_OVR,18,35,-0.2722371967654986
3,coex_LNG,25,41,-0.251753048780488
4,coex_ITI,30,39,-0.030824972129319894
5,coex_VGN,34,38,-0.30925352597179234
6,coex_HRV,10,14,-0.6440476190476194
7,coex_MSG,28,37,-0.2716958716958717
8,coex_ADV,22,35,-0.06749829118250128
9,coex_EMS,26,36,-0.22897711607389049
10,coex_SMU,22,36,-0.5260362243120862
11,coex_ARG,34,38,-0.23237014103887188
12,coex_TST,35,45,-0.2424603174603175
13,coex_PIT,42,41,-0.08456473979541879
14,coex_LVR,24,34,-0.40289046653144034
15,coex_THY,22,34,-0.49360198624904505
16,coex_PNC,27,36,-0.49537037037037046
17,coex_ATC,28,38,-0.0960925039872409
18,coex_BRO,49,46,-0.09082722832722823
19,coex_SKN,27,36,-0.15018832391713755
20,coex_ADS,18,31,0.9357317166170978
21,coex_GEJ,29,36,-0.3080428871585712
22,coex_BRB,35,25,-0.15004985044865382
23,coex_UTR,24,33,-0.19886363636363646
24,coex_STM,31,38,-0.3292856967102187
25,coex_HRA,27,35,-0.06922683051715306
26,coex_PRS,25,33,-0.6489446185997911
27,coex_ATA,21,36,-0.37667084377610704
28,coex_FIB,19,32,-0.40286377708978316
29,coex_BRC,46,40,-0.04663801820020219
30,coex_ATT,24,36,0.022619340047490333
31,coex_TNV,21,22,0.3890692640692639
32,coex_SPL,21,36,-0.25898078529657464
33,coex_LCL,16,25,-0.1985714285714284
34,coex_CLS,28,38,-0.2671166552745501
35,coex_EMC,24,36,-0.46666666666666656
36,coex_CLT,30,36,-0.20732323232323235
37,coex_core,28,39,-0.15470039910338418
38,coex_WBL,23,30,0.6939978124145476
39,co-essential,5,7,-0.36904761904761907
40,GOBP,28,19,0.22962962962962985
41,ppi,50,49,-0.27383013811585255
42,reactome_copathway,13,12,1.0259324009324007
43,MP,13,11,-0.023593073593073388
44,HP,31,27,-0.15760309809253092
45,GI_net,17,16,-0.506878557874763
46,gene_gene_on_CbG_name_mapped,15,8,0.04003623188405814
47,gene_gene_on_GcG_name_mapped,38,41,-0.22810629678408878
48,GOMF,4,8,
