,Layer,Intracranial_swelling nodes,Keratitis nodes,sAB
0,coex_KDN,36,39,0.14850427350427364
1,coex_BST,18,29,0.5900383141762451
2,coex_OVR,29,41,0.17090336134453743
3,coex_LNG,25,35,0.2260154061624653
4,coex_ITI,34,35,0.32174688057041
5,coex_VGN,29,39,0.38385178040350443
6,coex_HRV,31,20,0.4528311599176391
7,coex_MSG,33,45,0.016394716394716458
8,coex_ADV,19,30,-0.0552631578947369
9,coex_EMS,20,31,0.6520082226438961
10,coex_SMU,20,25,0.4227777777777777
11,coex_ARG,23,31,0.27790764116149846
12,coex_TST,30,35,0.12912087912087933
13,coex_PIT,33,37,0.05548145548145533
14,coex_LVR,34,32,0.33001893939393945
15,coex_THY,22,24,0.6534090909090908
16,coex_PNC,25,32,0.5508333333333335
17,coex_ATC,16,30,0.40000000000000036
18,coex_BRO,35,35,0.21554621848739486
19,coex_SKN,28,37,0.5007924065301113
20,coex_ADS,25,31,0.7909433962264147
21,coex_GEJ,20,40,0.6805302042590178
22,coex_BRB,33,24,0.35093167701863326
23,coex_UTR,17,22,1.1426435406698565
24,coex_STM,35,33,0.13074999334876392
25,coex_HRA,27,31,1.0405723905723905
26,coex_PRS,23,32,0.4992559523809521
27,coex_ATA,22,29,0.4010080521236703
28,coex_FIB,16,21,0.5238095238095237
29,coex_BRC,32,27,0.10177338355304433
30,coex_ATT,24,27,0.56993006993007
31,coex_TNV,24,21,0.7839285714285711
32,coex_SPL,23,28,0.5948051948051947
33,coex_LCL,15,21,0.7272727272727271
34,coex_CLS,32,30,0.43448275862068986
35,coex_EMC,27,34,0.355959898083527
36,coex_CLT,30,33,0.2380402083791915
37,coex_core,36,43,0.5256976744186048
38,coex_WBL,27,30,0.8357142857142856
39,co-essential,5,6,-0.36818181818181817
40,GOBP,14,20,1.6295546558704452
41,ppi,50,50,0.15999999999999992
42,reactome_copathway,21,20,0.3621553884711779
43,MP,10,16,1.77979797979798
44,HP,20,33,0.6892224128073186
45,GI_net,13,25,-0.31191724941724974
46,gene_gene_on_CbG_name_mapped,23,6,0.04447776111944024
47,gene_gene_on_GcG_name_mapped,37,30,-0.032681188651337845
48,GOMF,3,2,
