,Layer,Peptic_ulcer nodes,Tremor nodes,sAB
0,coex_KDN,43,37,-0.07205704379681421
1,coex_BST,28,24,0.47393317230273735
2,coex_OVR,33,25,0.5486111111111112
3,coex_LNG,40,30,0.6433409873708382
4,coex_ITI,38,35,0.30340920795138526
5,coex_VGN,32,31,0.19002816180235516
6,coex_HRV,29,21,1.616496598639456
7,coex_MSG,45,36,0.2885802469135803
8,coex_ADV,35,24,0.8041565778853914
9,coex_EMS,27,25,0.7523148148148144
10,coex_SMU,28,26,0.2604802604802603
11,coex_ARG,29,25,0.1041114058355439
12,coex_TST,34,34,0.014705882352941124
13,coex_PIT,35,32,0.22034248400852863
14,coex_LVR,43,23,0.15330759567362207
15,coex_THY,28,24,0.8487982663514582
16,coex_PNC,33,23,0.287572934312065
17,coex_ATC,36,28,0.461111111111111
18,coex_BRO,35,41,0.3100128369704751
19,coex_SKN,35,26,0.2786206896551726
20,coex_ADS,26,16,0.5229166666666671
21,coex_GEJ,29,26,0.8491285403050108
22,coex_BRB,31,31,0.467741935483871
23,coex_UTR,25,20,0.2833333333333332
24,coex_STM,36,32,0.5427714646464645
25,coex_HRA,30,29,0.6119812974868499
26,coex_PRS,26,30,0.21367521367521336
27,coex_ATA,33,22,0.6136363636363633
28,coex_FIB,27,21,0.26545086119554195
29,coex_BRC,28,34,0.30441854161019277
30,coex_ATT,33,30,0.5589640244812659
31,coex_TNV,24,21,0.9181893687707641
32,coex_SPL,32,28,0.3812500000000001
33,coex_LCL,23,20,0.18128342245989293
34,coex_CLS,31,34,0.3974854309539908
35,coex_EMC,34,26,0.33211109377437964
36,coex_CLT,32,35,0.12743818681318664
37,coex_core,38,34,0.8650670794633646
38,coex_WBL,38,24,0.5972693831352576
39,co-essential,5,6,1.1
40,GOBP,12,18,0.05328495034377356
41,ppi,50,49,0.14145537002679864
42,reactome_copathway,29,15,0.6689560439560438
43,MP,13,17,0.6733333333333338
44,HP,26,26,0.7123076923076925
45,GI_net,22,20,0.6915413533834589
46,gene_gene_on_CbG_name_mapped,20,22,0.0936147186147187
47,gene_gene_on_GcG_name_mapped,26,36,-0.18679349324510608
48,GOMF,7,2,
