,Layer,Primary_dilated_cardiomyopathy nodes,Cryptorchidism nodes,sAB
0,coex_KDN,31,36,0.03417818740399392
1,coex_BST,21,31,-0.047821165817770295
2,coex_OVR,24,38,-0.05194394885518894
3,coex_LNG,25,35,-0.014285714285714235
4,coex_ITI,27,35,-0.05876429424816543
5,coex_VGN,28,34,0.036759217793700616
6,coex_HRV,40,19,0.5885704727921497
7,coex_MSG,44,36,0.3702020202020204
8,coex_ADV,20,25,0.02666666666666684
9,coex_EMS,34,31,0.1470588235294117
10,coex_SMU,36,33,0.4187527448397015
11,coex_ARG,21,36,0.22129629629629632
12,coex_TST,30,40,-0.16785714285714293
13,coex_PIT,26,34,-0.07322775263951731
14,coex_LVR,18,31,-0.340867529807622
15,coex_THY,31,32,0.679603494623656
16,coex_PNC,16,32,0.1488696808510639
17,coex_ATC,38,33,0.2646011636004224
18,coex_BRO,27,33,0.12861952861952863
19,coex_SKN,24,35,-0.12136803874092039
20,coex_ADS,21,24,0.17575757575757578
21,coex_GEJ,24,34,0.34498834498834485
22,coex_BRB,21,17,0.004422821760283302
23,coex_UTR,22,29,-0.11987522281639951
24,coex_STM,29,34,-0.11994107988022806
25,coex_HRA,43,35,0.3367663344407532
26,coex_PRS,43,29,0.4737703822507353
27,coex_ATA,19,31,0.7098250535173842
28,coex_FIB,17,30,-0.06989152482582228
29,coex_BRC,30,33,-0.03526645768025061
30,coex_ATT,29,32,-0.03653017241379297
31,coex_TNV,26,15,0.45632183908045976
32,coex_SPL,23,33,0.10144927536231885
33,coex_LCL,24,27,0.04322782084409993
34,coex_CLS,28,34,0.018011419127037742
35,coex_EMC,19,29,-0.1381283042689181
36,coex_CLT,24,37,-0.0830010338207059
37,coex_core,41,38,0.3603080872913993
38,coex_WBL,34,36,1.053717320261438
39,co-essential,11,15,0.18012987012986992
40,GOBP,23,15,2.658008658008658
41,ppi,49,50,0.19240568954854664
42,reactome_copathway,17,23,0.1278772378516626
43,MP,25,10,1.4376470588235297
44,HP,38,32,0.47796052631578934
45,GI_net,17,29,-0.040770959546609475
46,gene_gene_on_CbG_name_mapped,11,22,0.2272727272727273
47,gene_gene_on_GcG_name_mapped,27,29,0.1368819558474732
48,GOMF,2,7,
