,Layer,Severe_myoclonic_epilepsy_in_infancy nodes,Skin_disorder nodes,sAB
0,coex_KDN,34,37,0.019872813990461147
1,coex_BST,25,21,0.38819875776397517
2,coex_OVR,18,29,0.4132224667807942
3,coex_LNG,27,32,0.6041057504873293
4,coex_ITI,33,34,0.34356293399313564
5,coex_VGN,34,30,0.27034032003606057
6,coex_HRV,16,23,0.5924958193979932
7,coex_MSG,25,37,0.5064690496948563
8,coex_ADV,23,27,0.9563929146537844
9,coex_EMS,28,23,0.8473752012882445
10,coex_SMU,24,22,0.2145915678524375
11,coex_ARG,30,19,1.00304217991788
12,coex_TST,32,30,0.15430107526881698
13,coex_PIT,35,32,0.42488006396588496
14,coex_LVR,22,32,0.4236637205387206
15,coex_THY,23,22,0.6818181818181817
16,coex_PNC,30,26,0.6891737891737895
17,coex_ATC,29,25,0.178581110388202
18,coex_BRO,45,32,0.46247009569377995
19,coex_SKN,25,23,0.2034782608695651
20,coex_ADS,21,25,0.7238095238095239
21,coex_GEJ,29,29,0.7616632860040569
22,coex_BRB,35,21,0.36309523809523814
23,coex_UTR,17,20,0.31707946336429327
24,coex_STM,29,34,0.571162947937796
25,coex_HRA,23,26,0.4905637840420449
26,coex_PRS,23,30,0.2919846199349303
27,coex_ATA,25,26,0.4618589743589743
28,coex_FIB,16,28,0.5308441558441557
29,coex_BRC,37,26,0.30987355577519526
30,coex_ATT,26,28,0.4203891845401282
31,coex_TNV,21,18,0.8090643274853804
32,coex_SPL,24,26,-0.03292517006802731
33,coex_LCL,11,15,-0.1344155844155841
34,coex_CLS,31,34,0.9586999022482894
35,coex_EMC,22,29,0.14679759050955843
36,coex_CLT,30,32,0.26371408425876974
37,coex_core,32,35,0.8192963752665245
38,coex_WBL,18,30,0.09583333333333366
39,co-essential,6,7,0.7051282051282053
40,GOBP,29,21,0.412698412698413
41,ppi,50,48,0.23688775510204096
42,reactome_copathway,13,14,1.005952380952381
43,MP,12,15,0.16000000000000014
44,HP,20,10,0.8249999999999997
45,GI_net,17,21,-0.024042950513538663
46,gene_gene_on_CbG_name_mapped,17,10,0.31013071895424815
47,gene_gene_on_GcG_name_mapped,38,30,-0.09251805985552108
48,GOMF,6,7,
