,Layer,Constipation nodes,Dyssomnia nodes,sAB
0,coex_KDN,33,42,0.24464804601790902
1,coex_BST,17,40,0.06206140350877187
2,coex_OVR,20,40,-0.11666666666666647
3,coex_LNG,29,40,0.42216932578486865
4,coex_ITI,33,40,-0.12389995848899948
5,coex_VGN,30,41,0.12205726405090123
6,coex_HRV,13,13,0.6971850613154964
7,coex_MSG,32,41,-0.02469303374540588
8,coex_ADV,21,36,0.008145363408521344
9,coex_EMS,24,39,0.23450854700854706
10,coex_SMU,20,36,0.2214285714285713
11,coex_ARG,28,37,0.06422631422631442
12,coex_TST,28,44,0.0696248196248197
13,coex_PIT,25,43,0.02979563072586333
14,coex_LVR,19,36,0.1748139287612973
15,coex_THY,19,25,0.23181818181818148
16,coex_PNC,24,35,0.0011097659402747873
17,coex_ATC,27,40,-0.12187499999999996
18,coex_BRO,29,37,0.4572989917817507
19,coex_SKN,26,39,0.24102564102564106
20,coex_ADS,20,19,0.7975462304409673
21,coex_GEJ,24,39,0.14041514041514058
22,coex_BRB,21,18,0.5449377949377952
23,coex_UTR,23,34,0.23062168011017126
24,coex_STM,27,40,-0.06417910447761188
25,coex_HRA,19,39,0.09307087347014731
26,coex_PRS,24,37,0.06512147393294931
27,coex_ATA,21,34,0.009505431675242981
28,coex_FIB,17,37,0.13254430901489722
29,coex_BRC,25,42,-0.03401563610518821
30,coex_ATT,24,39,0.35431929181929167
31,coex_TNV,10,14,0.7076923076923078
32,coex_SPL,22,38,-0.18963317384370026
33,coex_LCL,17,27,-0.1062636165577342
34,coex_CLS,32,41,-0.034116062479117915
35,coex_EMC,20,41,0.23306118230673833
36,coex_CLT,33,40,0.06319444444444433
37,coex_core,30,39,0.17455032529659387
38,coex_WBL,22,34,-0.2232620320855614
39,co-essential,7,9,1.3869047619047614
40,GOBP,17,15,0.811607142857143
41,ppi,49,50,0.09023294166151308
42,reactome_copathway,14,14,0.46978021978021944
43,MP,19,12,2.3400000000000003
44,HP,29,33,0.0010112245929820851
45,GI_net,20,23,0.046056622851364803
46,gene_gene_on_CbG_name_mapped,21,5,0.04249084249084234
47,gene_gene_on_GcG_name_mapped,33,32,-0.030222902097902127
48,GOMF,6,5,
