,Layer,Periodontitis nodes,Cellulitis nodes,sAB
0,coex_KDN,36,45,0.08115079365079358
1,coex_BST,19,22,-0.14819245082403
2,coex_OVR,20,38,-0.02856804172593641
3,coex_LNG,28,42,0.4101546601546602
4,coex_ITI,28,44,-0.0005411255411253979
5,coex_VGN,21,41,0.44666544409805
6,coex_HRV,25,34,0.21188302907369838
7,coex_MSG,30,45,0.13555555555555543
8,coex_ADV,27,30,0.6299145299145303
9,coex_EMS,19,30,-0.14178743961352636
10,coex_SMU,17,31,-0.10518934081346432
11,coex_ARG,17,27,-0.07372747078629427
12,coex_TST,21,35,0.12261904761904763
13,coex_PIT,24,36,0.2333333333333334
14,coex_LVR,30,36,0.05041050903119859
15,coex_THY,17,41,0.2525620004099203
16,coex_PNC,24,34,0.15365459685018212
17,coex_ATC,27,42,-0.03019323671497598
18,coex_BRO,21,39,0.1357737564249608
19,coex_SKN,17,33,0.010984848484848264
20,coex_ADS,20,39,0.3450130378096481
21,coex_GEJ,26,35,0.23538140020898624
22,coex_BRB,20,31,0.03534155597722943
23,coex_UTR,12,27,0.9939060939060935
24,coex_STM,27,43,0.2913744309093147
25,coex_HRA,25,27,0.37070105820105814
26,coex_PRS,18,37,0.01831243007713601
27,coex_ATA,19,38,0.24880382775119614
28,coex_FIB,14,20,0.11869747899159666
29,coex_BRC,16,25,-0.31551829268292675
30,coex_ATT,18,36,0.11333333333333284
31,coex_TNV,18,30,0.05458906967042143
32,coex_SPL,26,38,0.10804655870445345
33,coex_LCL,11,24,0.31250000000000044
34,coex_CLS,18,39,0.0656954156954157
35,coex_EMC,23,40,-0.08997584541062809
36,coex_CLT,18,44,0.29760971786833856
37,coex_core,31,46,0.19181465605225556
38,coex_WBL,28,37,0.265625
39,co-essential,10,8,-0.2930555555555552
40,GOBP,17,12,0.8985507246376812
41,ppi,49,50,0.010261801690373051
42,reactome_copathway,29,21,0.27474937343358397
43,MP,15,11,0.14880952380952372
44,HP,13,33,0.010793554271815164
45,GI_net,21,21,0.20175438596491224
46,gene_gene_on_CbG_name_mapped,25,8,0.39409090909090905
47,gene_gene_on_GcG_name_mapped,30,30,-0.06666666666666665
48,GOMF,2,2,
