,Layer,Primary_dilated_cardiomyopathy nodes,Hemorrhagic_disease nodes,sAB
0,coex_KDN,31,40,0.12542729898892668
1,coex_BST,21,31,0.06373797396717573
2,coex_OVR,24,32,0.15550595238095255
3,coex_LNG,25,37,0.1572798605056671
4,coex_ITI,27,34,0.12452230436801304
5,coex_VGN,28,37,0.17084942084942067
6,coex_HRV,40,17,0.5135061919504644
7,coex_MSG,44,42,0.3588417396556931
8,coex_ADV,20,32,0.10024038461538476
9,coex_EMS,34,32,0.36757769145394015
10,coex_SMU,36,33,0.31730346947738264
11,coex_ARG,21,30,0.2583333333333333
12,coex_TST,30,40,-0.012499999999999956
13,coex_PIT,26,38,-0.061479691785294444
14,coex_LVR,18,44,0.09819973932877168
15,coex_THY,31,34,0.777703984819734
16,coex_PNC,16,36,0.3191043083900227
17,coex_ATC,38,38,0.8026315789473684
18,coex_BRO,27,35,0.24980372077146296
19,coex_SKN,24,38,-0.025679117147707986
20,coex_ADS,21,28,0.3286249014972422
21,coex_GEJ,24,32,0.2653301886792452
22,coex_BRB,21,20,0.1663763066202093
23,coex_UTR,22,28,0.19691816120387529
24,coex_STM,29,40,0.36540479760119937
25,coex_HRA,43,30,0.39087142475274006
26,coex_PRS,43,34,0.24275587613480898
27,coex_ATA,19,36,0.5918394471026049
28,coex_FIB,17,30,0.178035043804756
29,coex_BRC,30,35,0.06297208538587862
30,coex_ATT,29,40,0.49395138496325597
31,coex_TNV,26,25,0.6920045045045047
32,coex_SPL,23,45,0.23805058255186107
33,coex_LCL,24,22,0.1607854864433811
34,coex_CLS,28,37,0.18240740740740735
35,coex_EMC,19,41,0.3719282963506325
36,coex_CLT,24,37,0.09644070299808005
37,coex_core,41,38,0.7777995432039078
38,coex_WBL,34,37,0.7488076311605725
39,co-essential,11,10,0.46298701298701284
40,GOBP,23,25,1.4391295938104447
41,ppi,49,50,0.3346279117707689
42,reactome_copathway,17,25,0.9247737556561089
43,MP,25,12,1.151081081081081
44,HP,38,22,0.9190590111642742
45,GI_net,17,17,0.15441176470588225
46,gene_gene_on_CbG_name_mapped,11,11,0.5
47,gene_gene_on_GcG_name_mapped,27,32,0.10929653170119247
48,GOMF,2,5,
