,Layer,Ichthyosis nodes,Ichthyosis_vulgaris nodes,sAB
0,coex_KDN,33,33,-0.11075174825174838
1,coex_BST,28,23,0.07508220679576172
2,coex_OVR,44,35,-0.22351224724642438
3,coex_LNG,31,30,0.16064145346681524
4,coex_ITI,30,24,0.30509259259259247
5,coex_VGN,48,41,-0.2927286014433177
6,coex_HRV,11,22,0.8712121212121211
7,coex_MSG,48,44,-0.2404891304347827
8,coex_ADV,24,17,0.4039634146341462
9,coex_EMS,35,30,0.03571428571428581
10,coex_SMU,31,29,0.10119047619047628
11,coex_ARG,30,28,-0.02496626180836703
12,coex_TST,33,34,-0.1489784725078842
13,coex_PIT,30,29,-0.0017241379310344307
14,coex_LVR,26,22,0.3066724941724943
15,coex_THY,26,26,0.9403167420814476
16,coex_PNC,26,22,0.10941142191142195
17,coex_ATC,29,18,-0.0569210075813158
18,coex_BRO,25,27,0.3889795918367347
19,coex_SKN,48,42,-0.028373015873015994
20,coex_ADS,36,38,0.2472345246678338
21,coex_GEJ,39,35,-0.029304029304029422
22,coex_BRB,11,20,1.2182601880877741
23,coex_UTR,27,20,-0.01591804570527966
24,coex_STM,30,28,0.22397372742200328
25,coex_HRA,30,22,-0.3231934731934736
26,coex_PRS,32,26,0.11082559681697601
27,coex_ATA,25,24,0.20833333333333348
28,coex_FIB,29,20,-0.11008267795926585
29,coex_BRC,28,30,0.35301616109238587
30,coex_ATT,28,25,-0.03869808793082452
31,coex_TNV,23,30,-0.1420289855072463
32,coex_SPL,27,23,-0.08689210950080528
33,coex_LCL,23,20,0.8393939393939394
34,coex_CLS,29,23,0.23086206896551742
35,coex_EMC,41,32,-0.3001088561482168
36,coex_CLT,30,23,-0.17381733661471155
37,coex_core,41,44,0.06035933220294787
38,coex_WBL,26,26,0.30769230769230793
39,co-essential,12,8,0.2250000000000001
40,GOBP,30,23,-0.49750334916575323
41,ppi,50,49,-0.3735992578849723
42,reactome_copathway,12,10,1.3269005847953217
43,MP,18,18,-0.4166666666666663
44,HP,32,23,-0.20172924901185763
45,GI_net,22,14,-0.2011077158135981
46,gene_gene_on_CbG_name_mapped,5,5,-1.2
47,gene_gene_on_GcG_name_mapped,26,35,-0.4810034228067013
48,GOMF,10,6,-1.2333333333333332
