,Layer,Pyelonephritis nodes,Periodontitis nodes,sAB
0,coex_KDN,42,36,-0.044372294372294174
1,coex_BST,26,19,0.04230352303523022
2,coex_OVR,32,20,-0.1612499999999999
3,coex_LNG,34,28,0.10955794504181604
4,coex_ITI,35,28,-0.14682539682539675
5,coex_VGN,32,21,0.2435602032376225
6,coex_HRV,26,25,-0.00551282051282076
7,coex_MSG,35,30,-0.04065934065934074
8,coex_ADV,31,27,-0.14230769230769225
9,coex_EMS,22,19,0.1403903903903907
10,coex_SMU,26,17,-0.3241088180112568
11,coex_ARG,21,17,-0.09059413238979763
12,coex_TST,27,21,-0.012235449735449766
13,coex_PIT,35,24,-0.275766747376917
14,coex_LVR,36,30,-0.2642720306513411
15,coex_THY,25,17,-0.09978991596638664
16,coex_PNC,29,24,-0.2345619643008683
17,coex_ATC,30,27,-0.15101010101010104
18,coex_BRO,30,21,-0.24271708683473392
19,coex_SKN,26,17,0.016190476190475867
20,coex_ADS,24,20,0.06060606060606011
21,coex_GEJ,29,26,0.6820215633423179
22,coex_BRB,21,20,-0.14939024390243905
23,coex_UTR,20,12,0.09992163009404376
24,coex_STM,30,27,0.0996101364522417
25,coex_HRA,25,25,0.1632482993197275
26,coex_PRS,29,18,-0.14231151007725185
27,coex_ATA,31,19,-0.0017543859649125082
28,coex_FIB,20,14,-0.2680672268907567
29,coex_BRC,21,16,-0.15206724581724584
30,coex_ATT,30,18,0.32222222222222197
31,coex_TNV,24,18,-0.5451223967848011
32,coex_SPL,27,26,-0.23076923076923062
33,coex_LCL,14,11,-0.1071428571428572
34,coex_CLS,33,18,-0.22340277777777784
35,coex_EMC,30,23,0.08680612523926756
36,coex_CLT,32,18,0.03125
37,coex_core,40,31,-0.15206243032330002
38,coex_WBL,29,28,-0.0714285714285714
39,co-essential,4,10,-0.44285714285714306
40,GOBP,14,17,-0.37435897435897436
41,ppi,50,49,0.022282003710575315
42,reactome_copathway,14,29,-0.18095238095238098
43,MP,16,15,0.9832298136645967
44,HP,13,13,0.2734615384615382
45,GI_net,23,21,-0.17090628492363358
46,gene_gene_on_CbG_name_mapped,12,25,0.05481981981981976
47,gene_gene_on_GcG_name_mapped,32,30,-0.13457661290322576
48,GOMF,4,2,
