,Layer,Disorder_of_lung nodes,Pneumonia nodes,sAB
0,coex_KDN,38,36,0.017642642642642592
1,coex_BST,20,23,-0.03695652173913011
2,coex_OVR,28,28,-0.15740740740740744
3,coex_LNG,33,35,0.28614718614718626
4,coex_ITI,33,31,-0.21708516617790807
5,coex_VGN,28,22,-0.224155844155844
6,coex_HRV,26,31,-0.030472541507024387
7,coex_MSG,33,38,-0.02913493721499627
8,coex_ADV,19,35,-0.34413812308549163
9,coex_EMS,19,26,-0.21977685716975826
10,coex_SMU,18,23,-0.2960358056265986
11,coex_ARG,22,22,-0.20454545454545459
12,coex_TST,34,25,-0.10115653040877359
13,coex_PIT,30,33,-0.19278996865203757
14,coex_LVR,33,32,0.13169642857142838
15,coex_THY,29,23,0.21107715373082714
16,coex_PNC,25,26,-0.2622021116138762
17,coex_ATC,26,26,0.020769230769230873
18,coex_BRO,27,35,-0.09435057176992667
19,coex_SKN,27,23,0.40740740740740744
20,coex_ADS,28,24,-0.23379629629629628
21,coex_GEJ,22,30,-0.22686025408348431
22,coex_BRB,27,28,-0.15576020764699994
23,coex_UTR,13,17,-0.48234416445623385
24,coex_STM,34,31,0.22641220259816097
25,coex_HRA,25,25,0.2594727891156463
26,coex_PRS,24,28,-0.1488095238095235
27,coex_ATA,28,26,0.08664021164021163
28,coex_FIB,19,26,-0.281080031080031
29,coex_BRC,26,24,0.16585034013605426
30,coex_ATT,24,24,0.10268270120259038
31,coex_TNV,21,24,-0.07883444075304569
32,coex_SPL,24,23,-0.12496145544249138
33,coex_LCL,16,16,-0.5090725806451613
34,coex_CLS,29,24,0.03826252723311563
35,coex_EMC,27,27,-0.1711111111111112
36,coex_CLT,32,29,-0.05813929986255961
37,coex_core,35,34,-0.015151515151515138
38,coex_WBL,33,30,0.26076150185087243
39,co-essential,10,9,0.8437908496732027
40,GOBP,14,12,1.6333333333333329
41,ppi,49,50,0.14984951556380133
42,reactome_copathway,18,25,0.22628205128205114
43,MP,10,11,-0.44999999999999973
44,HP,23,12,0.10895445134575565
45,GI_net,18,22,0.07967032967032961
46,gene_gene_on_CbG_name_mapped,18,14,-0.2078373015873014
47,gene_gene_on_GcG_name_mapped,36,29,-0.06798555850279975
48,GOMF,8,2,
