,Layer,Cirrhosis_of_liver nodes,Ascites nodes,sAB
0,coex_KDN,43,43,0.05813953488372081
1,coex_BST,22,33,0.28695114409400135
2,coex_OVR,27,28,0.20988455988456023
3,coex_LNG,33,29,0.18594734890619202
4,coex_ITI,36,35,0.08513071895424829
5,coex_VGN,32,30,0.22689018198859645
6,coex_HRV,32,23,0.05542243083003928
7,coex_MSG,36,38,0.01414572467204045
8,coex_ADV,27,28,0.4636243386243386
9,coex_EMS,21,35,0.38095238095238115
10,coex_SMU,23,25,0.1899806576402321
11,coex_ARG,29,28,0.25
12,coex_TST,34,35,0.26241018146388995
13,coex_PIT,36,33,0.09249665775401072
14,coex_LVR,42,31,0.17534667424194583
15,coex_THY,31,32,0.6390433815350391
16,coex_PNC,30,36,0.22204007285974514
17,coex_ATC,26,37,0.1331413380593709
18,coex_BRO,29,34,0.14249492900608507
19,coex_SKN,34,33,0.490530303030303
20,coex_ADS,31,29,0.9159065628476086
21,coex_GEJ,27,28,0.3491439552760305
22,coex_BRB,27,25,0.06000000000000005
23,coex_UTR,16,22,0.3631756756756759
24,coex_STM,33,34,0.18135259531220882
25,coex_HRA,30,29,0.3071764442454099
26,coex_PRS,24,29,0.34525016903313066
27,coex_ATA,27,32,0.2732744107744107
28,coex_FIB,13,22,-0.28539107950872644
29,coex_BRC,30,29,0.09537205081669686
30,coex_ATT,32,32,0.26524476513865336
31,coex_TNV,25,24,1.1600000000000001
32,coex_SPL,36,34,0.2606209150326797
33,coex_LCL,14,25,0.33834586466165417
34,coex_CLS,32,25,0.5807547169811322
35,coex_EMC,31,35,0.20000000000000018
36,coex_CLT,33,34,0.2845056903880432
37,coex_core,38,41,0.2813698274021188
38,coex_WBL,28,31,0.7964285714285713
39,co-essential,9,8,0.125
40,GOBP,19,19,0.7289915966386555
41,ppi,49,48,0.27659285363630004
42,reactome_copathway,25,15,0.42647058823529393
43,MP,13,14,0.0
44,HP,25,26,0.21235294117647063
45,GI_net,15,17,0.08151260504201696
46,gene_gene_on_CbG_name_mapped,16,6,0.4289772727272727
47,gene_gene_on_GcG_name_mapped,34,33,-0.11716816984595724
48,GOMF,3,11,
