,Layer,Atypical_absence_seizure nodes,Atonic_seizure nodes,sAB
0,coex_KDN,35,38,-0.008794508794508715
1,coex_BST,27,27,0.18814814814814818
2,coex_OVR,30,22,-0.2618348880271111
3,coex_LNG,31,24,0.12010019550342133
4,coex_ITI,31,36,0.16129032258064502
5,coex_VGN,32,30,0.10225134408602132
6,coex_HRV,21,20,0.12122531939605086
7,coex_MSG,33,33,0.2272727272727273
8,coex_ADV,26,26,0.3352337858220209
9,coex_EMS,25,21,0.37936507936507935
10,coex_SMU,24,25,0.3308664816527904
11,coex_ARG,31,28,0.14010673234811155
12,coex_TST,36,35,-0.014201877934272522
13,coex_PIT,34,38,-0.005486016256521564
14,coex_LVR,24,28,0.15979853479853467
15,coex_THY,32,24,0.5304168375717806
16,coex_PNC,30,25,-0.04515151515151494
17,coex_ATC,28,29,0.10529556650246308
18,coex_BRO,40,38,-0.132118758434548
19,coex_SKN,32,26,0.13375686813186816
20,coex_ADS,26,27,0.9269741439552761
21,coex_GEJ,28,29,0.5679945054945055
22,coex_BRB,34,31,0.2647696725317692
23,coex_UTR,21,14,-0.11904761904761907
24,coex_STM,33,31,0.13828812316715533
25,coex_HRA,31,29,0.37362501544926463
26,coex_PRS,27,24,0.09749455337690627
27,coex_ATA,29,25,0.24240558292282488
28,coex_FIB,21,20,-0.030865272938443544
29,coex_BRC,39,36,-0.05243823908207479
30,coex_ATT,27,23,-0.13137698290334754
31,coex_TNV,21,22,0.8893939393939392
32,coex_SPL,28,24,0.6002747252747251
33,coex_LCL,11,21,0.07705627705627704
34,coex_CLS,29,30,0.5614791288566243
35,coex_EMC,28,21,-0.22738095238095224
36,coex_CLT,32,34,0.0055147058823528106
37,coex_core,34,34,0.5725284519402165
38,coex_WBL,20,28,0.06825396825396801
39,co-essential,3,9,1.1856060606060606
40,GOBP,29,17,0.05013736263736224
41,ppi,47,50,0.029112318840579965
42,reactome_copathway,7,18,0.7752525252525255
43,MP,15,12,0.3066233766233766
44,HP,24,25,0.12520408163265295
45,GI_net,14,18,-0.10019841269841301
46,gene_gene_on_CbG_name_mapped,14,22,0.06637806637806642
47,gene_gene_on_GcG_name_mapped,32,35,-0.07018923240938157
48,GOMF,6,7,
