,Layer,Hypersensitivity_pneumonitis nodes,Keloid nodes,sAB
0,coex_KDN,33,45,0.0740259740259741
1,coex_BST,20,23,0.2445652173913042
2,coex_OVR,23,30,0.13293683347005736
3,coex_LNG,24,36,0.7850717498393656
4,coex_ITI,26,35,0.30218702865761693
5,coex_VGN,20,39,0.15121082621082627
6,coex_HRV,21,31,0.7410445468509983
7,coex_MSG,29,38,0.20596202291627175
8,coex_ADV,28,29,0.6761083743842364
9,coex_EMS,22,29,0.6041666666666665
10,coex_SMU,15,29,0.221843853820598
11,coex_ARG,16,30,0.4470238095238095
12,coex_TST,28,33,0.10131466893761965
13,coex_PIT,25,34,0.30158524426719846
14,coex_LVR,26,39,0.4012820512820512
15,coex_THY,20,30,0.5933333333333333
16,coex_PNC,25,34,0.3947829131652658
17,coex_ATC,20,25,0.08777777777777773
18,coex_BRO,24,28,0.30173992673992656
19,coex_SKN,23,37,0.2781909483854563
20,coex_ADS,21,37,0.8268390571022151
21,coex_GEJ,24,35,1.1392857142857142
22,coex_BRB,17,20,-0.10417329093799665
23,coex_UTR,17,30,0.5138655462184873
24,coex_STM,28,36,0.6218253968253968
25,coex_HRA,23,31,0.6909207161125321
26,coex_PRS,26,30,0.6304402515723269
27,coex_ATA,24,30,0.7214743589743593
28,coex_FIB,24,25,0.35416666666666696
29,coex_BRC,20,26,0.21973244147157223
30,coex_ATT,22,34,0.46258503401360507
31,coex_TNV,16,27,0.6244264507422406
32,coex_SPL,19,37,0.3385339885339884
33,coex_LCL,16,12,0.3924242424242421
34,coex_CLS,25,31,0.7208684863523573
35,coex_EMC,23,32,0.35769149831649827
36,coex_CLT,23,33,0.33594390894175574
37,coex_core,29,43,0.7648538310126121
38,coex_WBL,27,34,0.5695861515533647
39,co-essential,7,5,0.13095238095238093
40,GOBP,19,16,2.199404761904762
41,ppi,49,47,0.12689969604863238
42,reactome_copathway,18,22,1.3424731182795697
43,MP,20,14,0.6441295546558701
44,HP,15,21,0.4396825396825397
45,GI_net,16,12,0.24055944055944067
46,gene_gene_on_CbG_name_mapped,14,7,0.2142857142857142
47,gene_gene_on_GcG_name_mapped,26,29,0.03603809983120332
48,GOMF,4,3,
