,Layer,Gout nodes,Abdominal_pain nodes,sAB
0,coex_KDN,40,37,-0.017449104949104788
1,coex_BST,30,28,0.1547619047619051
2,coex_OVR,24,32,0.0007440476190476719
3,coex_LNG,35,35,0.3142857142857145
4,coex_ITI,39,36,0.22774972774972801
5,coex_VGN,40,30,0.2845238095238094
6,coex_HRV,20,23,0.13488865323435872
7,coex_MSG,43,41,0.04921940415417447
8,coex_ADV,31,36,0.20000000000000018
9,coex_EMS,34,31,0.2702834799608991
10,coex_SMU,31,28,0.1511338830948341
11,coex_ARG,31,30,0.040131219245489236
12,coex_TST,39,32,0.13239985820630973
13,coex_PIT,36,35,0.004415381175944422
14,coex_LVR,34,40,0.03104805302402669
15,coex_THY,26,30,0.3667073667073666
16,coex_PNC,31,33,0.09000794232649056
17,coex_ATC,36,37,0.16501712980586225
18,coex_BRO,37,31,0.3281022958442317
19,coex_SKN,35,32,0.2750133262260128
20,coex_ADS,28,26,0.7101648351648349
21,coex_GEJ,35,33,0.3257575757575757
22,coex_BRB,21,19,0.28238953238953224
23,coex_UTR,28,23,0.33610305958132036
24,coex_STM,36,32,0.042585784313725394
25,coex_HRA,35,29,-0.07383004926108372
26,coex_PRS,32,31,0.05302419354838683
27,coex_ATA,31,34,0.3834352270656267
28,coex_FIB,30,25,0.21232704402515723
29,coex_BRC,30,27,0.15750487329434693
30,coex_ATT,28,31,0.27475911185588586
31,coex_TNV,22,19,0.18261562998405134
32,coex_SPL,34,40,0.23030604133545296
33,coex_LCL,22,21,0.040476190476190554
34,coex_CLS,35,34,0.23529411764705888
35,coex_EMC,34,34,0.5
36,coex_CLT,32,34,0.12082111436950149
37,coex_core,37,40,0.17025599543205172
38,coex_WBL,32,38,0.05744830827067693
39,co-essential,12,16,0.086231884057971
40,GOBP,23,23,1.3339122118191886
41,ppi,50,50,0.07999999999999985
42,reactome_copathway,13,21,0.5642857142857145
43,MP,15,15,-0.012967032967032832
44,HP,15,35,0.2767857142857142
45,GI_net,19,27,0.08424442749385541
46,gene_gene_on_CbG_name_mapped,14,10,0.34523809523809534
47,gene_gene_on_GcG_name_mapped,32,36,0.01776960784313708
48,GOMF,4,5,
