,Layer,Tetralogy_of_Fallot nodes,Familial_multiple_polyposis_syndrome nodes,sAB
0,coex_KDN,40,41,0.17500000000000027
1,coex_BST,26,28,0.39423076923076916
2,coex_OVR,33,32,0.361391129032258
3,coex_LNG,33,38,0.7212745301990156
4,coex_ITI,38,39,0.21872378451325813
5,coex_VGN,36,33,0.4675559947299077
6,coex_HRV,25,28,0.6870485175202159
7,coex_MSG,38,42,0.3401629072681702
8,coex_ADV,30,28,0.6690476190476189
9,coex_EMS,24,25,0.09320910973084873
10,coex_SMU,22,30,0.17060606060606065
11,coex_ARG,22,29,0.17448979591836755
12,coex_TST,36,35,0.239526045159848
13,coex_PIT,31,38,0.3234927234927234
14,coex_LVR,26,37,0.3299673299673298
15,coex_THY,31,32,0.5753888248847927
16,coex_PNC,25,33,0.16480668756530825
17,coex_ATC,38,34,0.3545333923042904
18,coex_BRO,31,32,0.3645833333333335
19,coex_SKN,33,34,0.2677787532923619
20,coex_ADS,28,27,0.35986323250474195
21,coex_GEJ,30,28,0.7427601809954751
22,coex_BRB,20,27,0.34952718676122885
23,coex_UTR,28,22,0.4982993197278911
24,coex_STM,34,41,0.2470540411286466
25,coex_HRA,27,33,0.34618664717348935
26,coex_PRS,29,30,0.27142996298460975
27,coex_ATA,28,29,0.5520914354852646
28,coex_FIB,17,30,0.31453992255209284
29,coex_BRC,26,33,0.23694462864721477
30,coex_ATT,32,31,0.4117918719211824
31,coex_TNV,21,23,0.7682900432900435
32,coex_SPL,27,28,0.39908609908609893
33,coex_LCL,9,20,-0.03611111111111143
34,coex_CLS,29,32,0.5917686318131257
35,coex_EMC,29,34,0.6379310344827587
36,coex_CLT,32,36,0.1483864379084967
37,coex_core,35,40,0.7025440313111548
38,coex_WBL,13,35,0.37445054945054945
39,co-essential,10,15,1.8944444444444444
40,GOBP,12,14,0.9909090909090903
41,ppi,48,50,0.28340986394557843
42,reactome_copathway,16,28,0.8592592592592594
43,MP,14,16,0.7825854700854702
44,HP,27,22,0.5490448704734419
45,GI_net,11,25,0.19686868686868686
46,gene_gene_on_CbG_name_mapped,5,12,0.06274509803921546
47,gene_gene_on_GcG_name_mapped,37,39,0.06739431739431723
48,GOMF,8,4,
