,Layer,Fibrosarcoma nodes,Small_cell_lung_carcinoma nodes,sAB
0,coex_KDN,46,38,0.22300198749474132
1,coex_BST,26,28,0.4888593237649843
2,coex_OVR,36,33,0.059672815107597366
3,coex_LNG,36,36,0.42046238785369217
4,coex_ITI,43,34,0.11232611437809803
5,coex_VGN,38,34,0.17212762297901607
6,coex_HRV,37,21,0.3761904761904762
7,coex_MSG,42,39,0.3102021435354769
8,coex_ADV,27,27,0.37037037037037024
9,coex_EMS,26,37,0.21393272212944314
10,coex_SMU,34,27,0.06717171717171722
11,coex_ARG,30,26,0.03205128205128216
12,coex_TST,42,42,0.1428571428571428
13,coex_PIT,40,38,0.1986842105263158
14,coex_LVR,41,28,0.10466848457304434
15,coex_THY,36,30,0.1729166666666666
16,coex_PNC,33,27,0.2186868686868686
17,coex_ATC,34,37,0.30166931637519845
18,coex_BRO,38,41,0.4679278854747242
19,coex_SKN,39,36,0.3258653390232338
20,coex_ADS,40,28,0.8944573944573944
21,coex_GEJ,28,36,0.2861623143881209
22,coex_BRB,34,23,0.18134071810542407
23,coex_UTR,28,29,0.32850574712643654
24,coex_STM,43,33,0.33100013332571465
25,coex_HRA,39,32,0.20087351029252432
26,coex_PRS,32,31,0.14466525857654866
27,coex_ATA,35,26,0.09380952380952401
28,coex_FIB,32,28,0.05325814536340845
29,coex_BRC,38,37,0.28427769875138287
30,coex_ATT,38,32,0.7759108081688728
31,coex_TNV,32,19,0.09618055555555527
32,coex_SPL,31,29,0.2691879866518354
33,coex_LCL,23,21,0.19157509157509156
34,coex_CLS,31,35,-0.0787040916073174
35,coex_EMC,33,33,0.025726010101009944
36,coex_CLT,38,35,0.015502515502515468
37,coex_core,44,40,0.2958425720620843
38,coex_WBL,37,29,0.4635729135729134
39,co-essential,8,10,-0.2666666666666666
40,GOBP,6,15,0.43991596638655484
41,ppi,50,50,0.10999999999999988
42,reactome_copathway,28,20,0.3819444444444444
43,MP,6,15,0.8770676691729324
44,HP,22,19,-0.18934837092731827
45,GI_net,19,25,0.15714285714285725
46,gene_gene_on_CbG_name_mapped,17,15,0.4716911764705882
47,gene_gene_on_GcG_name_mapped,33,35,-0.0457473898650369
48,GOMF,2,1,
