,Layer,Endometriosis nodes,Pleural_effusion nodes,sAB
0,coex_KDN,41,39,0.16553878610840655
1,coex_BST,26,25,-0.06389324960753529
2,coex_OVR,25,29,-0.14745987855129017
3,coex_LNG,27,32,0.2135710922787193
4,coex_ITI,35,38,0.12139639639639643
5,coex_VGN,31,30,0.031572117167222746
6,coex_HRV,33,26,0.36385112732095504
7,coex_MSG,35,37,0.05161947661947641
8,coex_ADV,19,27,-0.02060278902384205
9,coex_EMS,20,26,0.06011705685618729
10,coex_SMU,24,26,0.04262820512820498
11,coex_ARG,27,29,0.26945222533457835
12,coex_TST,36,30,0.07095959595959589
13,coex_PIT,32,33,0.05083088954056714
14,coex_LVR,28,36,0.046875
15,coex_THY,33,29,0.2662248953232558
16,coex_PNC,26,28,0.08323158323158308
17,coex_ATC,27,33,0.13864367545511613
18,coex_BRO,29,34,0.22478635320719587
19,coex_SKN,25,31,0.07546082949308741
20,coex_ADS,33,30,0.3085941381023347
21,coex_GEJ,27,29,0.36141304347826075
22,coex_BRB,23,28,0.43411712511091416
23,coex_UTR,17,19,0.27366946778711476
24,coex_STM,35,33,0.20138782785841602
25,coex_HRA,27,27,-0.003924098263720754
26,coex_PRS,22,27,-0.14780457637600497
27,coex_ATA,27,31,0.20559618649601674
28,coex_FIB,20,15,-0.0708333333333333
29,coex_BRC,31,23,0.4612797374897457
30,coex_ATT,26,32,0.19992458521870304
31,coex_TNV,25,24,0.18119565217391287
32,coex_SPL,25,32,0.007061403508771935
33,coex_LCL,12,14,0.08333333333333348
34,coex_CLS,27,31,0.05040050498454596
35,coex_EMC,27,32,0.1775944960212199
36,coex_CLT,28,36,0.15745007680491563
37,coex_core,39,37,0.21996838777660677
38,coex_WBL,30,29,0.034482758620689724
39,co-essential,7,7,-0.9047619047619047
40,GOBP,8,19,1.2276785714285712
41,ppi,49,47,0.11458785641916358
42,reactome_copathway,16,17,0.23749999999999982
43,MP,10,17,-0.11826923076923102
44,HP,16,26,-0.21302655677655702
45,GI_net,19,22,-0.21411483253588526
46,gene_gene_on_CbG_name_mapped,14,7,0.0714285714285714
47,gene_gene_on_GcG_name_mapped,33,23,-0.096955580651233
48,GOMF,5,8,
