,Layer,Nephroblastoma nodes,Uterine_leiomyoma nodes,sAB
0,coex_KDN,45,45,-0.21111111111111103
1,coex_BST,37,38,-0.11899399399399391
2,coex_OVR,39,34,-0.2226905514576747
3,coex_LNG,41,40,-0.05958672086720873
4,coex_ITI,44,43,-0.16060059293820306
5,coex_VGN,46,36,-0.20046836337928609
6,coex_HRV,16,26,0.8350961538461537
7,coex_MSG,45,45,-0.13333333333333353
8,coex_ADV,34,30,-0.056678921568627416
9,coex_EMS,37,35,0.040498546836574834
10,coex_SMU,38,32,-0.11919642857142865
11,coex_ARG,34,34,0.0
12,coex_TST,46,46,0.0
13,coex_PIT,40,36,0.1629914529914529
14,coex_LVR,38,35,-0.12782984859408808
15,coex_THY,33,38,-0.23213603791809856
16,coex_PNC,39,35,-0.2610746089795244
17,coex_ATC,42,38,-0.06616541353383454
18,coex_BRO,36,36,0.0352941176470587
19,coex_SKN,41,40,-0.0865364348087927
20,coex_ADS,23,30,-0.1411694152923535
21,coex_GEJ,40,35,-0.23290117416829736
22,coex_BRB,13,24,0.15595238095238084
23,coex_UTR,35,34,-0.0003592741444404801
24,coex_STM,43,40,-0.1810591202017371
25,coex_HRA,37,33,0.11423891423891419
26,coex_PRS,39,37,-0.06845205529416054
27,coex_ATA,33,35,0.26413292589763193
28,coex_FIB,36,33,-0.14196310935441359
29,coex_BRC,34,34,-0.27941176470588247
30,coex_ATT,37,36,0.1126984126984123
31,coex_TNV,19,26,-0.35648714810281534
32,coex_SPL,42,32,-0.00462516087516085
33,coex_LCL,30,18,-0.07361111111111107
34,coex_CLS,37,40,-0.01986486486486494
35,coex_EMC,42,38,-0.10244360902255645
36,coex_CLT,44,42,-0.14196365649854026
37,coex_core,42,40,0.08125725900116132
38,coex_WBL,33,32,-0.31241987179487185
39,co-essential,24,10,0.5375000000000001
40,GOBP,9,20,0.3725490196078436
41,ppi,48,49,-0.041077126726979385
42,reactome_copathway,13,23,0.09059610466260071
43,MP,12,9,0.9401709401709404
44,HP,27,21,0.10615079365079372
45,GI_net,28,19,-0.35100383938569824
46,gene_gene_on_CbG_name_mapped,2,5,0.08571428571428585
47,gene_gene_on_GcG_name_mapped,33,32,0.15086684149184149
48,GOMF,3,5,
