,Layer,Acute_intermittent_porphyria nodes,Oligomenorrhea nodes,sAB
0,coex_KDN,31,34,0.1377828054298642
1,coex_BST,30,28,0.35310559006211184
2,coex_OVR,23,33,0.11155028546332879
3,coex_LNG,22,25,0.2078916827852999
4,coex_ITI,29,32,0.3877720463538723
5,coex_VGN,20,28,0.12916666666666643
6,coex_HRV,15,13,0.46483516483516496
7,coex_MSG,27,29,0.2049580368545887
8,coex_ADV,36,27,0.3993558776167472
9,coex_EMS,35,21,0.22857142857142865
10,coex_SMU,21,24,0.34305555555555545
11,coex_ARG,21,32,0.3140360983102921
12,coex_TST,23,32,-0.014835858585858563
13,coex_PIT,24,32,0.17323875283202073
14,coex_LVR,24,29,0.2680817610062891
15,coex_THY,21,26,0.3782608695652172
16,coex_PNC,37,24,0.5205102643627235
17,coex_ATC,20,30,0.27500000000000013
18,coex_BRO,23,27,0.048631239935588155
19,coex_SKN,21,30,0.06106442577030835
20,coex_ADS,25,23,1.7756521739130435
21,coex_GEJ,18,32,0.6393623737373739
22,coex_BRB,12,19,0.3415393322014717
23,coex_UTR,21,24,-0.06931818181818183
24,coex_STM,23,27,-0.005925925925926112
25,coex_HRA,20,33,0.39377470355731203
26,coex_PRS,26,20,-0.08497316636851515
27,coex_ATA,32,31,0.6687921980495126
28,coex_FIB,18,22,-0.10353535353535337
29,coex_BRC,21,29,0.08503401360544238
30,coex_ATT,35,28,0.23019480519480506
31,coex_TNV,25,22,1.432906403940887
32,coex_SPL,22,24,-0.02651515151515138
33,coex_LCL,14,18,0.04563492063492047
34,coex_CLS,24,25,0.04166666666666696
35,coex_EMC,24,26,-0.04166666666666696
36,coex_CLT,25,27,0.09855203619909503
37,coex_core,38,36,0.47660818713450315
38,coex_WBL,21,28,0.283126293995859
39,co-essential,11,9,0.3787878787878789
40,GOBP,21,17,1.9952205882352945
41,ppi,49,45,0.1802817580933085
42,reactome_copathway,14,17,0.22355769230769207
43,MP,9,12,0.31715686274509736
44,HP,19,37,0.47965352570615716
45,GI_net,21,17,-0.19761904761904758
46,gene_gene_on_CbG_name_mapped,10,6,0.5333333333333332
47,gene_gene_on_GcG_name_mapped,29,34,0.04299075952219944
48,GOMF,13,6,-0.2999999999999998
