,Layer,Menorrhagia nodes,Glanzmann_thrombasthenia nodes,sAB
0,coex_KDN,36,33,-0.16381203337725103
1,coex_BST,26,27,0.2940356744704573
2,coex_OVR,24,28,-0.3246187363834423
3,coex_LNG,27,27,-0.16666666666666652
4,coex_ITI,32,33,-0.38387966200466206
5,coex_VGN,31,34,-0.3167128886293973
6,coex_HRV,21,22,-0.03508771929824572
7,coex_MSG,34,33,-0.23899885598744253
8,coex_ADV,19,19,0.41228070175438614
9,coex_EMS,21,24,0.1969696969696968
10,coex_SMU,22,22,-0.18181818181818166
11,coex_ARG,19,18,0.05022127390548459
12,coex_TST,31,31,-0.12903225806451624
13,coex_PIT,32,31,-0.4958355367530407
14,coex_LVR,32,23,-0.08267045454545463
15,coex_THY,22,20,-0.00895595632437729
16,coex_PNC,27,22,-0.4920894708128749
17,coex_ATC,25,27,-0.25586894586894604
18,coex_BRO,28,24,-0.22733516483516492
19,coex_SKN,29,28,-0.053214933886440274
20,coex_ADS,20,29,0.49042145593869746
21,coex_GEJ,23,29,0.2692953523238377
22,coex_BRB,23,18,-0.17476729115117218
23,coex_UTR,19,19,-0.3347953216374271
24,coex_STM,30,30,-0.04367816091954024
25,coex_HRA,25,23,-0.020833333333333037
26,coex_PRS,27,25,-0.2539031339031341
27,coex_ATA,23,29,0.12333629103815413
28,coex_FIB,20,16,-0.19859022556390982
29,coex_BRC,28,28,-0.3392857142857142
30,coex_ATT,30,26,0.21256410256410252
31,coex_TNV,18,24,0.04344153936545192
32,coex_SPL,29,28,-0.140901823524328
33,coex_LCL,19,14,-0.38157894736842124
34,coex_CLS,23,31,-0.030464767616192212
35,coex_EMC,29,31,-0.09232480533926601
36,coex_CLT,28,29,-0.12430861636850765
37,coex_core,29,37,-0.09644396551724133
38,coex_WBL,35,28,-0.06757125789383855
39,co-essential,8,2,0.125
40,GOBP,30,20,0.0500338066260988
41,ppi,50,45,-0.014619883040935644
42,reactome_copathway,25,23,0.16705099778270505
43,MP,22,23,-0.4221043184457822
44,HP,33,21,-0.2111592111592111
45,GI_net,17,13,-0.342081447963801
46,gene_gene_on_CbG_name_mapped,9,12,0.031746031746031855
47,gene_gene_on_GcG_name_mapped,33,33,-0.28787878787878807
48,GOMF,6,6,
