,Layer,Neoplasm_of_lung nodes,Uterine_leiomyoma nodes,sAB
0,coex_KDN,45,45,-0.15555555555555545
1,coex_BST,35,38,0.016634050880626194
2,coex_OVR,42,34,0.0463659147869675
3,coex_LNG,40,40,0.08749999999999991
4,coex_ITI,43,43,-0.058139534883721034
5,coex_VGN,35,36,-0.20385154061624666
6,coex_HRV,20,26,0.1821070234113713
7,coex_MSG,41,45,0.07191025398626061
8,coex_ADV,33,30,0.141774891774892
9,coex_EMS,36,35,0.15714285714285703
10,coex_SMU,33,32,0.00028409090909087276
11,coex_ARG,39,34,0.04362238580851385
12,coex_TST,43,46,-0.053316822121993734
13,coex_PIT,36,36,0.0972222222222221
14,coex_LVR,38,35,-0.025450612833453512
15,coex_THY,32,38,0.14179981203007497
16,coex_PNC,35,35,-0.07502740226525395
17,coex_ATC,41,38,0.15245986362802788
18,coex_BRO,33,36,0.17012987012987058
19,coex_SKN,36,40,0.18559941520467826
20,coex_ADS,30,30,0.08250535749074617
21,coex_GEJ,38,35,-0.018352218574605672
22,coex_BRB,19,24,0.14876580987352073
23,coex_UTR,36,34,0.1466386554621848
24,coex_STM,40,40,-0.025000000000000133
25,coex_HRA,37,33,0.21578331578331578
26,coex_PRS,36,37,-0.06791209017236421
27,coex_ATA,32,35,0.20757657901870452
28,coex_FIB,37,33,-0.12445103205972763
29,coex_BRC,36,34,-0.04360410830999051
30,coex_ATT,35,36,0.403279819390443
31,coex_TNV,21,26,0.375
32,coex_SPL,39,32,-0.045253759398496296
33,coex_LCL,29,18,0.05310996983777616
34,coex_CLS,38,40,-0.011639676113360364
35,coex_EMC,38,38,-0.09210526315789469
36,coex_CLT,42,42,-0.0714285714285714
37,coex_core,38,40,0.012095141700404932
38,coex_WBL,36,32,-0.14879493464052285
39,co-essential,25,10,0.3514285714285714
40,GOBP,13,20,0.7885034355622595
41,ppi,49,49,0.020408163265305923
42,reactome_copathway,28,23,0.12731267345050878
43,MP,12,9,0.9666666666666668
44,HP,28,21,0.11819727891156462
45,GI_net,31,19,-0.18152235427277863
46,gene_gene_on_CbG_name_mapped,19,5,0.42280701754385963
47,gene_gene_on_GcG_name_mapped,37,32,0.09664487857422643
48,GOMF,4,5,
