,Layer,Chronic_pain nodes,Narcolepsy nodes,sAB
0,coex_KDN,34,34,0.1617647058823528
1,coex_BST,22,25,-0.12144927536231886
2,coex_OVR,28,25,0.11978991596638666
3,coex_LNG,24,27,-0.1789371980676333
4,coex_ITI,30,31,0.06515071390798521
5,coex_VGN,32,30,0.10782930107526889
6,coex_HRV,23,13,0.39483463396506835
7,coex_MSG,32,26,0.00186505305039808
8,coex_ADV,24,24,0.1875
9,coex_EMS,27,27,0.16025641025641013
10,coex_SMU,27,25,0.21677559912854028
11,coex_ARG,26,27,0.36683006535947715
12,coex_TST,35,33,0.11795263559969427
13,coex_PIT,35,32,0.1937500000000001
14,coex_LVR,27,26,-0.1502714615922165
15,coex_THY,27,25,0.3415099715099714
16,coex_PNC,26,25,0.45999999999999996
17,coex_ATC,26,27,0.22683169381282609
18,coex_BRO,35,37,0.25131343617259105
19,coex_SKN,29,27,0.19959861339171692
20,coex_ADS,20,20,0.3399122807017547
21,coex_GEJ,26,25,0.6032051282051283
22,coex_BRB,24,26,0.4893537414965987
23,coex_UTR,20,25,0.36860465116279073
24,coex_STM,29,28,0.22848186296462147
25,coex_HRA,22,25,0.34059961315280485
26,coex_PRS,29,29,-0.0344827586206895
27,coex_ATA,26,23,0.7479864855641254
28,coex_FIB,19,21,0.014473684210526638
29,coex_BRC,30,34,0.014154411764705888
30,coex_ATT,25,25,0.5547278911564626
31,coex_TNV,18,13,0.42222222222222205
32,coex_SPL,23,26,0.29608900416353867
33,coex_LCL,13,20,-0.14195344129554677
34,coex_CLS,23,33,0.13349331827592703
35,coex_EMC,24,25,0.1641156462585034
36,coex_CLT,29,28,0.1022707631146833
37,coex_core,30,31,0.2775305895439377
38,coex_WBL,24,25,0.08202380952380972
39,co-essential,4,13,0.4024725274725278
40,GOBP,19,22,0.6920426065162908
41,ppi,50,48,0.1942261904761906
42,reactome_copathway,12,17,1.2533422459893047
43,MP,20,13,1.3490028490028494
44,HP,17,18,0.6272642390289449
45,GI_net,11,21,0.08739177489177496
46,gene_gene_on_CbG_name_mapped,15,4,0.2942982456140353
47,gene_gene_on_GcG_name_mapped,30,28,0.05545977011494241
48,GOMF,4,11,
