,Layer,Methylmalonic_acidemia nodes,Headache nodes,sAB
0,coex_KDN,48,39,0.34593280282935446
1,coex_BST,46,30,0.36833137485311407
2,coex_OVR,44,37,0.3530651863985197
3,coex_LNG,46,40,0.5452098078867544
4,coex_ITI,47,39,0.36344028724038635
5,coex_VGN,46,34,0.17049232736572906
6,coex_HRV,31,24,0.7812697659709045
7,coex_MSG,47,42,-0.10964163336862343
8,coex_ADV,40,32,0.42361111111111116
9,coex_EMS,47,34,-0.041220507115375726
10,coex_SMU,46,28,0.4432390464999161
11,coex_ARG,45,30,0.19203686445065737
12,coex_TST,47,37,0.1682685725238917
13,coex_PIT,43,39,0.022543159241968258
14,coex_LVR,45,33,0.41500000000000004
15,coex_THY,43,28,0.4584771106510237
16,coex_PNC,43,30,-0.05856429860889856
17,coex_ATC,42,38,0.33615170324031074
18,coex_BRO,41,37,0.2535735350241124
19,coex_SKN,46,32,0.18427745261984407
20,coex_ADS,25,24,0.9210992907801416
21,coex_GEJ,45,30,-0.05777777777777793
22,coex_BRB,16,24,0.516666666666667
23,coex_UTR,44,30,0.3921717171717174
24,coex_STM,43,40,0.3992104507608383
25,coex_HRA,45,32,0.21735660173160176
26,coex_PRS,44,35,0.16517551076374604
27,coex_ATA,35,33,0.7082251082251085
28,coex_FIB,46,33,0.19700722136055115
29,coex_BRC,46,34,0.23081841432225048
30,coex_ATT,44,31,0.6008993157380251
31,coex_TNV,13,19,0.5062078272604587
32,coex_SPL,40,33,0.3109277708592777
33,coex_LCL,43,24,0.17896708318870758
34,coex_CLS,47,38,0.17688558066003557
35,coex_EMC,46,34,0.11352301790281372
36,coex_CLT,45,38,0.053720143732826076
37,coex_core,43,38,0.2604416942442238
38,coex_WBL,42,31,0.35305536266649806
39,co-essential,18,8,0.23611111111111116
40,GOBP,29,17,1.0504789272030655
41,ppi,50,49,0.2913378684807255
42,reactome_copathway,17,15,1.9763461538461535
43,MP,8,16,0.45904503105590155
44,HP,27,28,0.2404641654641655
45,GI_net,22,21,0.5513409354872767
46,gene_gene_on_CbG_name_mapped,18,7,0.43253968253968256
47,gene_gene_on_GcG_name_mapped,31,33,0.01622067448680342
48,GOMF,3,2,
