,Layer,myoclonic_epilepsy nodes,Primary_dilated_cardiomyopathy nodes,sAB
0,coex_KDN,42,31,0.2194783944433314
1,coex_BST,34,21,0.3009569377990431
2,coex_OVR,35,24,0.09871872477804722
3,coex_LNG,41,25,0.28906134515890614
4,coex_ITI,39,27,0.18194768194768174
5,coex_VGN,38,28,0.029448621553884724
6,coex_HRV,14,40,0.4462301587301587
7,coex_MSG,37,44,0.2904305820972488
8,coex_ADV,35,20,0.10259740259740235
9,coex_EMS,36,34,0.5666494668042654
10,coex_SMU,36,36,0.2777777777777777
11,coex_ARG,38,21,0.26029945553539013
12,coex_TST,45,30,-0.05222222222222239
13,coex_PIT,41,26,0.03223096524880287
14,coex_LVR,34,18,0.05065359477124165
15,coex_THY,34,31,0.8359392789373814
16,coex_PNC,36,16,0.3867647058823529
17,coex_ATC,38,38,0.7763157894736845
18,coex_BRO,46,27,0.35343915343915366
19,coex_SKN,36,24,0.17499999999999982
20,coex_ADS,31,21,0.8527156023699805
21,coex_GEJ,36,24,0.36915204678362556
22,coex_BRB,25,21,0.34161490683229845
23,coex_UTR,33,22,0.20757575757575752
24,coex_STM,38,29,0.07438307554785051
25,coex_HRA,35,43,0.4931765908510095
26,coex_PRS,33,43,0.1305033196098071
27,coex_ATA,36,19,0.2284556087187668
28,coex_FIB,32,17,0.05477190876350546
29,coex_BRC,40,30,0.07341269841269837
30,coex_ATT,36,29,0.5330378596012726
31,coex_TNV,22,26,0.7045454545454546
32,coex_SPL,36,23,0.19090313600261988
33,coex_LCL,25,24,0.2521153846153845
34,coex_CLS,38,28,0.1776866000125763
35,coex_EMC,36,19,0.21880172128434294
36,coex_CLT,36,24,0.1305555555555553
37,coex_core,39,41,0.7689180737961228
38,coex_WBL,30,34,1.2988106718097074
39,co-essential,7,11,0.8304473304473303
40,GOBP,19,23,2.1924242424242424
41,ppi,49,49,0.23469387755102056
42,reactome_copathway,12,17,0.9763471822295351
43,MP,11,25,2.1124242424242423
44,HP,27,38,0.4937546858599491
45,GI_net,16,17,-0.11978178368121473
46,gene_gene_on_CbG_name_mapped,8,11,0.209629186602871
47,gene_gene_on_GcG_name_mapped,41,27,0.0023815389669048503
48,GOMF,8,2,
