,Layer,Erythroderma nodes,Intracranial_swelling nodes,sAB
0,coex_KDN,25,36,0.3951023391812867
1,coex_BST,19,18,0.676065162907268
2,coex_OVR,31,29,0.6566722643130514
3,coex_LNG,27,25,1.0402777777777779
4,coex_ITI,24,34,0.6075473292765383
5,coex_VGN,41,29,0.39151783505664683
6,coex_HRV,9,31,0.5102810790416901
7,coex_MSG,38,33,0.2776635891906465
8,coex_ADV,13,19,0.46685222672064786
9,coex_EMS,24,20,0.5106060606060603
10,coex_SMU,20,20,0.6812499999999999
11,coex_ARG,15,23,0.8993788819875776
12,coex_TST,23,30,0.4157289002557545
13,coex_PIT,17,33,0.26723707664884166
14,coex_LVR,18,34,0.22649572649572658
15,coex_THY,21,22,1.2721201562664977
16,coex_PNC,13,25,0.6160323886639676
17,coex_ATC,20,16,0.34404761904761916
18,coex_BRO,15,35,0.13877551020408152
19,coex_SKN,40,28,0.3485576923076923
20,coex_ADS,35,25,1.5304761904761905
21,coex_GEJ,27,20,0.6383766745468873
22,coex_BRB,9,33,0.6031746031746033
23,coex_UTR,11,17,1.1289983164983166
24,coex_STM,21,35,0.42676343264578565
25,coex_HRA,16,27,0.7868676603432698
26,coex_PRS,24,23,0.5759920634920634
27,coex_ATA,17,22,0.5418660287081343
28,coex_FIB,12,16,0.669090909090909
29,coex_BRC,16,32,0.17708333333333348
30,coex_ATT,22,24,0.43315508021390414
31,coex_TNV,25,24,1.7050170068027208
32,coex_SPL,19,23,1.1834811529933482
33,coex_LCL,10,15,0.7045454545454546
34,coex_CLS,21,32,0.37500000000000044
35,coex_EMC,30,27,0.6338383838383836
36,coex_CLT,21,30,0.26700680272108834
37,coex_core,38,36,1.039473684210526
38,coex_WBL,20,27,1.052173913043478
39,co-essential,2,5,0.48571428571428577
40,GOBP,25,14,1.5019857859531776
41,ppi,47,50,0.22654090809388028
42,reactome_copathway,14,21,0.5702380952380954
43,MP,22,10,2.030738418669453
44,HP,37,20,0.6834755808440018
45,GI_net,13,13,-0.11538461538461497
46,gene_gene_on_CbG_name_mapped,3,23,0.1978818283166106
47,gene_gene_on_GcG_name_mapped,22,37,0.028276350310248555
48,GOMF,9,3,
