,Layer,Epilepsy nodes,Malnutrition nodes,sAB
0,coex_KDN,34,37,0.12763384760070773
1,coex_BST,26,26,0.26923076923076916
2,coex_OVR,18,23,-0.013785790031813239
3,coex_LNG,25,27,0.02660910518053372
4,coex_ITI,30,31,0.3456989247311828
5,coex_VGN,34,31,0.24615049615827278
6,coex_HRV,10,18,0.10000000000000009
7,coex_MSG,28,38,0.4219640009113692
8,coex_ADV,22,26,0.3338383838383836
9,coex_EMS,26,24,0.6650641025641026
10,coex_SMU,22,20,-0.0681818181818179
11,coex_ARG,34,19,0.08094519859225713
12,coex_TST,35,22,-0.06190476190476191
13,coex_PIT,42,25,0.4008173418621179
14,coex_LVR,24,34,0.14883367139959414
15,coex_THY,22,29,0.4521097499820903
16,coex_PNC,27,26,0.031580927807342896
17,coex_ATC,28,27,0.4526936026936028
18,coex_BRO,49,24,0.14583333333333348
19,coex_SKN,27,34,0.44677544677544656
20,coex_ADS,18,29,1.1377883753158882
21,coex_GEJ,29,34,0.5820271682340645
22,coex_BRB,35,21,0.5024191494779733
23,coex_UTR,24,17,0.35454374057315263
24,coex_STM,31,28,0.22809107240490523
25,coex_HRA,27,22,0.08968253968253936
26,coex_PRS,25,25,0.12219858156028396
27,coex_ATA,21,22,0.5666666666666664
28,coex_FIB,19,13,0.1046305668016192
29,coex_BRC,46,19,0.22100198822072992
30,coex_ATT,24,25,0.27639751552795033
31,coex_TNV,21,21,0.9932432432432434
32,coex_SPL,21,33,0.5242905242905245
33,coex_LCL,16,9,-0.20238095238095255
34,coex_CLS,28,33,0.6758658008658007
35,coex_EMC,24,27,0.1781045751633985
36,coex_CLT,30,28,0.25370370370370354
37,coex_core,28,35,0.517857142857143
38,coex_WBL,23,26,1.7805072463768117
39,co-essential,5,11,0.27840909090909083
40,GOBP,28,19,0.912090869939707
41,ppi,50,50,0.2100000000000002
42,reactome_copathway,13,23,1.2718832891246685
43,MP,13,13,1.4639328063241108
44,HP,31,33,0.6607710166177907
45,GI_net,17,17,-0.3308823529411766
46,gene_gene_on_CbG_name_mapped,15,13,0.3540293040293039
47,gene_gene_on_GcG_name_mapped,38,29,0.08746647885797865
48,GOMF,4,4,
