,Layer,Diabetes_mellitus nodes,Stroke_disorder nodes,sAB
0,coex_KDN,41,42,-0.10558698207464001
1,coex_BST,25,21,-0.20198412698412693
2,coex_OVR,26,28,-0.002533193570929626
3,coex_LNG,30,37,-0.026361436062928956
4,coex_ITI,37,37,-0.013513513513513375
5,coex_VGN,27,30,-0.25134680134680143
6,coex_HRV,19,29,-0.01724137931034475
7,coex_MSG,37,38,-0.05505452821242285
8,coex_ADV,27,28,0.31934269434269447
9,coex_EMS,24,22,0.20248682476943358
10,coex_SMU,28,24,-0.16693899782135047
11,coex_ARG,27,22,-0.30555555555555536
12,coex_TST,35,32,-0.01588486140724954
13,coex_PIT,32,34,-0.34558823529411775
14,coex_LVR,33,40,-0.21310190950601915
15,coex_THY,29,27,0.09615384615384581
16,coex_PNC,30,28,0.04166666666666696
17,coex_ATC,31,31,-0.048387096774193505
18,coex_BRO,34,33,-0.10268177827440339
19,coex_SKN,25,31,-0.13220125786163517
20,coex_ADS,29,31,-0.1645161290322581
21,coex_GEJ,25,32,0.28008934600799984
22,coex_BRB,26,29,-0.14672052085845189
23,coex_UTR,14,15,0.439080459770115
24,coex_STM,26,34,0.0723227752639517
25,coex_HRA,33,30,0.08283989318472074
26,coex_PRS,24,31,-0.02499999999999991
27,coex_ATA,34,32,0.15625
28,coex_FIB,22,20,-0.4731007118683628
29,coex_BRC,27,31,-0.004522956135859291
30,coex_ATT,23,32,-0.10300140252454426
31,coex_TNV,22,28,-0.0014223365287198142
32,coex_SPL,30,31,0.11724137931034484
33,coex_LCL,17,8,-0.09375
34,coex_CLS,29,30,0.1545566502463056
35,coex_EMC,26,30,-0.17596424010217104
36,coex_CLT,32,27,0.18076876218323568
37,coex_core,39,39,0.08305403456809368
38,coex_WBL,30,32,0.038877688172042735
39,co-essential,8,7,-0.015796703296703463
40,GOBP,14,16,0.4615384615384617
41,ppi,50,49,-0.12106575963718824
42,reactome_copathway,21,25,0.3083333333333331
43,MP,13,18,-0.48093083387201085
44,HP,22,20,0.4530303030303029
45,GI_net,22,13,-0.32867132867132876
46,gene_gene_on_CbG_name_mapped,12,16,-0.0535714285714286
47,gene_gene_on_GcG_name_mapped,29,30,-0.3211669588934347
48,GOMF,3,5,
