,Layer,Severe_myoclonic_epilepsy_in_infancy nodes,Mastocytosis nodes,sAB
0,coex_KDN,34,42,0.25916042092512703
1,coex_BST,25,22,0.08535353535353529
2,coex_OVR,18,29,-0.09741583109154628
3,coex_LNG,27,33,0.5819865319865318
4,coex_ITI,33,33,0.1805104617604616
5,coex_VGN,34,33,0.22282970175858696
6,coex_HRV,16,22,0.7953050239234449
7,coex_MSG,25,33,0.1881086729362591
8,coex_ADV,23,26,0.5645689714012696
9,coex_EMS,28,35,1.3114866018091826
10,coex_SMU,24,20,0.27803030303030285
11,coex_ARG,30,27,0.10228937728937737
12,coex_TST,32,31,0.12506400409626206
13,coex_PIT,35,29,0.2983682266009853
14,coex_LVR,22,27,0.059163059163059195
15,coex_THY,23,22,0.7272727272727271
16,coex_PNC,30,23,0.30387894288150097
17,coex_ATC,29,32,0.43211206896551735
18,coex_BRO,45,32,0.4632924641148326
19,coex_SKN,25,33,0.38835497835497845
20,coex_ADS,21,30,1.1865754812563325
21,coex_GEJ,29,33,1.635005224660397
22,coex_BRB,35,25,0.33398910411622285
23,coex_UTR,17,24,0.11642156862745123
24,coex_STM,29,29,0.08620689655172442
25,coex_HRA,23,21,0.4307886754297272
26,coex_PRS,23,26,0.3210531704320525
27,coex_ATA,25,28,0.1691666666666669
28,coex_FIB,16,16,0.21875
29,coex_BRC,37,23,0.115604359982171
30,coex_ATT,26,29,0.6530986255124185
31,coex_TNV,21,24,1.2955128205128208
32,coex_SPL,24,27,0.23965141612200425
33,coex_LCL,11,20,0.09208211143695033
34,coex_CLS,31,29,0.3084909158324063
35,coex_EMC,22,28,0.35010822510822504
36,coex_CLT,30,35,0.2891208096141682
37,coex_core,32,36,0.6764705882352939
38,coex_WBL,18,32,0.24187499999999984
39,co-essential,6,8,0.6755952380952381
40,GOBP,29,13,0.7846153846153845
41,ppi,50,48,0.20776360544217676
42,reactome_copathway,13,20,0.6436781609195403
43,MP,12,9,0.7083333333333335
44,HP,20,18,0.547222222222222
45,GI_net,17,22,0.009701083230494678
46,gene_gene_on_CbG_name_mapped,17,14,0.40309026836541073
47,gene_gene_on_GcG_name_mapped,38,26,0.018534919028339925
48,GOMF,6,6,
